country,attraction,score,review,trip_date
Austria,Schönbrunn Palace,5.0,"Amazing. Absolutely beautiful and full of history. The gardens can be visited for free an it already pays off the visit, but if you want, I'd definitely recommend the tour inside of the palace, it takes less than 2 hours using the Audioguide",Oct 2021
Austria,Schönbrunn Palace,4.0,"Can´t realy review it, it is magic and it is a jewel but a bit boring after 25 rooms and for sure I hate this electronic guide.",Oct 2021
Austria,Schönbrunn Palace,5.0,This is one of the must see attractions in Vienna. Great palace and amazing interior. Garden is also really nice.,Oct 2021
Austria,Schönbrunn Palace,5.0,"We decided to do the self-guided tour of the Palace which meant we could go at our own pace, the ticket included access to the walled gardens and the orangery. The Palace and grounds are stunning. We took the tram from our hotel in the Museum Quarter and it was easy to find our way around. The grounds are extensive so for people not wanting to walk all the way round there is a small 'train' which does the circuit on a hop on, hop off basis for 9 Euros. We did a mixture of a lot of walking combined with the train. We felt we covered everything and were there for almost a whole day.
Read more",Oct 2021
Austria,Schönbrunn Palace,5.0,"We went there for a couple of hours and remain for the whole day. It was just perfect! We dis the tour of the palace, kids enjoyed the maze, and then we went to the garden and up to the Gloriette with a wonderful view.
Definitely the best way of spending time",Oct 2021
Austria,Schönbrunn Palace,4.0,"If you're in Vienna it comes highly recommended to spend at least one full day at Schönbrunn and its gardens. The palace itself is nice to see. The price is a bit high, but the majestic rooms are quite interesting to see. It's certainly more impressive than the Imperial Appartments at Hofburg, especially the ball room. With the audio guide it took me almost one hour to complete the entire tour. As a visitor you have two options, but always opt for the longest one. You will see some special rooms like a hunting room which you won't see with the most basic ticket. And some of these rooms are the finest of the entire palace.
Read more",Oct 2021
Austria,Schönbrunn Palace,4.0,We took a guided tour of the Schonbrunn Palace as part of a Uniworld tour. The palace is beautiful and we learned some of the history of the Hadsburg family and Empress Maria Theresa. The gardens are gorgeous and were definitely the highlight of our visit. The gardens go on forever! Be sure to take the time to walk through. We visited in September and there were no crowds which was very nice.,Sep 2021
Austria,Schönbrunn Palace,5.0,Always fun to visit a palace. Beautiful landscape too. The self guided tour was easy and efficient. Strolling along outside was lovely. Not too crowded so it was easy to enjoy.,Oct 2021
Austria,Schönbrunn Palace,5.0,"The place is great, full of history and cultural, a nice garden and labyrinth, and a beautiful site of the palace and the city at the top of the hill. It’s a most on your list if your going to Viena!",Oct 2021
Austria,Schönbrunn Palace,3.0,"If you are a fan of splendor, baroque and rococo styles - this is yours. We are not fans, so we did not go inside the palace.
We walked in the park - it is huge and crowded.
Despite the distance from the center (7 kilometers on foot) it is convenient to get - by subway. Between the metro station and the palace there is a machine with free water - very convenient. In general, stock up on water in the heat.
Pretty cute Japanese garden, although it's not old Austria of course.
My advice - visit everything in the center - Belvedere, Military Museum, Albertina, etc., and then, if time permits - visit it
Read more",Sep 2021
Austria,Schönbrunn Palace,5.0,"Beautiful palace with even more beautiful gardens, great guide Bilianna, very interesting and educational. It was worth the money, you can spend the whole day there! :)",Oct 2021
Austria,Schönbrunn Palace,5.0,This is a must if you go to Vienna! It was beautiful and the tour of the inside was absolutely amazing! It was so cool to see inside the palace and the different rooms. The hike to the other building was very nice too!,Sep 2021
Austria,Schönbrunn Palace,5.0,Beautiful and so elegant. A must in Vienna. The beautiful gardens can take days going through them alone. Stunning 🤩,Sep 2021
Austria,Schönbrunn Palace,5.0,Super tour of wonderful historic palace. Gardens superb and walk to top of hill provided for an excellent lunch,Sep 2021
Austria,Schönbrunn Palace,5.0,Such an impressive place and a good audio guide included in the price. The additional charge for the maze and orangery entry isn't worth it as the gardens are so huge you can wander around and not need these additional bits. Certainly get a ticket where you can see the whole house though.,Sep 2021
Austria,Schönbrunn Palace,3.0,"In Vienna every place is a palace, the real palace wasn't as impressive as the others. The gardens and the view are very nice. Get only the gardens and palace ticket the all inclusive one is a bit of a tourist trap. In the palace only around 4 rooms are really impressive (out of 40) in my opinion it's only worth a visit if you have enough time.",Sep 2021
