attraction,country,review,score,trip_date
Grand Place,Belgium,"You can visit the place for free. We visited this place when we went to Brussels in October 2021. We saw some people did not wear their mask but we kept wear our masks.

We can see the beautiful square buildings in this place. At night everything turned even more beautiful. They have some restaurants for people to enjoy their day. It is difficult to find place to sit. So, it is standing place.

The place is easy to reach by tourists maps. We walked from Brussels metro station to this place and took around 15 minutes.
Read more",5.0,Oct 2021
Grand Place,Belgium,"It is a large square located in the center of brussels, beautiful architecture, good atmosphere and I felt completely safe",5.0,Sep 2021
Grand Place,Belgium,Simply beautiful and a must see both during the day and at night! Really stunning when the gold glints in the sunlight! We even had a waffle in the square.,5.0,Oct 2021
Grand Place,Belgium,"THIS IS A LOVELY SECTION OF BRUSSELS ,the statue was not very big but has as a big story ,must see ,",4.0,Oct 2021
Grand Place,Belgium,"Grand Place is a must to visit especially when the sun sets down.
The architecture of the Grand Place is just fantastic not to speak about the other buildings in the square!
You can take amazing photos in here.",5.0,Oct 2021
Grand Place,Belgium,We loved being one street over from this beautiful place! So many fun events and gatherings in the three days we stayed in Belgium!,5.0,Oct 2021
Grand Place,Belgium,I like the achitecture and the people of this city so much! Coming back for sure! Everyone is so friendly and helpful and in my opinion it's a good city to live.,4.0,Aug 2021
Grand Place,Belgium,Great views all round. An absolute must if in Brussels !! Looks great at night lit up and very safe too. Recommend,4.0,Oct 2021
Grand Place,Belgium,"I advise you to go see this place during the day and come back there in the evening because it is really 2 different atmospheres, very beautiful illuminations",5.0,Oct 2021
Grand Place,Belgium,"We entered the square as there was a college graduation ceremony happening. You can stand and marvel for hours at the intricate facades of each building. I'd recommend grabbing a beer or two, sitting any one of the many outdoor cafe spots, and really taking the time to analyze each building. There is a horse and buggy service in the square and a central place for locals and tourists to walk through. It's stunning.",5.0,Oct 2021
Grand Place,Belgium,"I have seen a lot of market squares in Belgium on this trip, but this is without doubt the most impressive and beautiful.. It is like being on the inside of a jewelry box.",5.0,Oct 2021
Grand Place,Belgium,Truly a beautiful square. It is worth several visits throughout the day and night. Stop and take the time to look closely at every building!,5.0,Sep 2021
