country,attraction,score,review,trip_date
Croatia,Walls of Dubrovnik,4.0,"While a tourist trap ( that's what Dubrovnik is ! ) , it's a bit of history & a nice Morning walk. Too hot from 11am to 4 pm. Great views, take a camera",Sep 2021
Croatia,Walls of Dubrovnik,5.0,"Wonderful experience. Be prepared for lots of steps...and if it's a hot day go early in the morning to avoid the heat. Wonderfully preserved and what views, breathtaking!",Sep 2021
Croatia,Walls of Dubrovnik,4.0,We were very lucky for whether during our week in October. The walls were really impressive with amazing views out to sea and over the old town. A tad expensive but certainly very impressive. Takes about an hour to get around with some stops.,Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Lots of steps, very high, it was a wonderful experience ! There are bars along the way so you can stop and rest. You can ""get off"" half way around too. Shockingly fantastic views.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"After visiting Dubrovnik for many years and not walking the walls because of the heat and huge numbers of tourists in Summer, we went early in the morning in October. No crowds, no excessive heat, just relaxing walking and beautiful views of the Old Town, surrounding area and the sea. Awesome looking down on the roofs, alleys, and architecture. A drink stop overlooking Lokrum halfway round. Every view a photographer’s dream. It is expensive and I believe next year will be more so but as a once in a lifetime visit it is hard to beat.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,I loved this walk! I'm a very reluctant walker but so glad that I did this. Not as strenuous as I expected and well worth the steps at the start for the excellent views and insight into the old town.,Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Absolutely stunning views from the wall, worth doing it. Make sure to pack water and wear comfy shoes, about 2km walk around the wall. There are some refreshment/cafes along the wall as well.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Croatia is a magical place. Every corner is a postcard picture. The best view of the town is of course from the city walls, so this tour should be on your list as a must. We were lucky with not many tourists, but apparently can be very busy sometimes.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"We walked the walls of Dubrovnik on our own and it was awesome! The weather was a pleasant low seventies and it wasn't too crowded--mid October was perfect. We took around two hours to walk the perimeter and visit some museums that were included on our Dubrovnik card. The views of the Adriatic were glorious and the peek into the backyards with the laundry hanging on the line enhanced the experience. Most of the homes within the walls have been converted to vacation rentals, but it was clear that some are still residential. The uneven stone walkways will give your ankles a workout!",Oct 2021
Croatia,Walls of Dubrovnik,2.0,"The views can be pretty, but the walls are reminiscent of a Disney creation, as is most of Dubrovnik. After spending a week there, I felt that the entire city could be skipped. It's a tourist-trap on a major scale, with egregiously inflated prices -- especially for food and drinks. The walls apparently survived the 1667 earthquake (which destroyed nearly every building inside the walls) and numerous military attacks, and are an impressive 6 meters thick in some places, but they have been restored to an extent that makes them look new (nicely squared stones), hence artificial. There are walls (and castles) in other countries that have been standing since the 13th century, with less restoration, so more historical appeal. If you do walk the walls, go early, before you find yourself in an ant-like line of tourists -- and take water with you.
Read more",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Do not Miss the monumental walls that encircle Dubrovnik. Undoubtedly the city's most unique and famous feature. There's no place like it on earth. Towers overlooking the sea, glittering Adriatic Sea on one side and red clay roofs of the Old Town on the other. You can easily explore the walls on your own. I recommend first thing in the morning or late afternoon.

Pro Tip:

Buy Dubrovnik Card and will save you money.

Bring water , wear comfortable shoes, a hat and a sunscreen.
Read more",Oct 2021
Croatia,Walls of Dubrovnik,5.0,Increasingly expensive but nevertheless the most iconic thing to do in Dubrovnik. Go during sunset and enjoy.,Oct 2021
Croatia,Walls of Dubrovnik,5.0,"This was our first visit to Dubrovnik so of course the walls were top of our list. I felt tickets were a little expensive but I imagine the upkeep is tremendous and it has to be funded somehow. The experience was worth it, some fantastic views and if you are a GoT fan like us then it’s a must.

Although there are quite a lot of steps, I think people of most abilities would be able to manage it if they took their time. If you are scared of heights or less able then it would be a good idea to avoid busy periods as some sections are a bit narrow and the sides seem quite low so could be scary navigating if there were a lot of people around.

There are several refreshment points where you can get a coffee, juice, beer, ice cream etc and they have toilets. It looked like there was a toilet for anyone to use at the bar on the sea section of the wall.

An absolute must do, we were lucky that it was quiet in October so we were able to take it all in and get a load of pictures without having to wait for others to get their shots first!
Read more",Oct 2021
Croatia,Walls of Dubrovnik,5.0,£20 to walk the wall and enter the St Lawrence fort (the red keep) is great value. Amazing views of the city and the coast especially for Game of Thrones fans. You need to have your wits about you as there are a lot of uneven steps and slopes with shiny paving that is slippery after rain.,Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Although to get up to the wall was a few steps, once you are up there not difficult at all. Several places to stop for refreshments if needed and a WC. we went up an hour before they closed and easily made it around in a hour. It was a little windy and not crowded at all. Worth it!",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Takes about an hour to work the walls. Tickets to the left just after entering Pile gate. Toilets available and small refreshments
bars on the wall. Fabulous views.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Although the walls could be a stressful climb, it was well worth it for the views of the old city as well as the sea.",Sep 2021
Croatia,Walls of Dubrovnik,5.0,Go early or late as mid-day was very hot but lovely views from everywhere. Takes about an hour or so and very glad I did it. There is a bar about 1/3 of the way around to get a beverage with lovely views if you get thirsty. Or bring a water bottle!,Sep 2021
Croatia,Walls of Dubrovnik,1.0,"Outrageously overpriced. Don’t bother. Also, surly staff. Similar views to be had elsewhere. Don’t have much else to add…",Oct 2021
Croatia,Walls of Dubrovnik,5.0,Lots of steps but definitely worth the effort for the incredible views. Some nice cafes to stop for drinks along the way. Worth buying a Dubrovnik Card too as it includes free entry aswell as local bus tickets and discounts at restaurants.,Oct 2021
Croatia,Walls of Dubrovnik,5.0,"My friend leapt off these walls into the water below some 35 years ago. I wanted to visit the spot where he ruined his back forever. Lovely and enchanting, but go early or at sunset. Very crowded.",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"Loved this, great views and worth the money even if it is a little expensive! Would recommend doing!",Sep 2021
Croatia,Walls of Dubrovnik,5.0,Well worth the steps but buy a Dubrovnik one day pass as it only costs a little more than the wall costs and you then have the card for bus and other sights. Leave early as you get the full sun throughout in the hot weather - take a picnic and stop for your own break - plenty places to stop and have a break,Sep 2021
Croatia,Walls of Dubrovnik,5.0,So much history was shared by our guide while we toured the walls. My respects to the City of Dubrovnik for maintaining these walls in such great condition. A true gem and a great privilege to have walked them.,Sep 2021
Croatia,Walls of Dubrovnik,4.0,"typical tourist thing to do but good experience . went about 5-6 and it wasnt too busy. Great views over Dubrovnik. Not too difficult to walk as its not all stairs. 200 kuna which is quite expensive. There are refreshment stops and cafes along the walk and toilets . one part has views over the residents houses
worth doing to get a flavour of the old town from on high",Sep 2021
Croatia,Walls of Dubrovnik,5.0,"The wall walk is a must but it is strenuous. Early morning was best for us. The views and historical perspective are best observed from the upper walls and it is one of the best walled city walks--if not thee best, in Europe.",Sep 2021
Croatia,Walls of Dubrovnik,3.0,"We walked the walls yesterday we enjoyed it
Snd were glad we did it
They’re fabulous and beautiful
I thought it was very expensive for what you got
If you suffer from vertigo I would urge caution",Oct 2021
Croatia,Walls of Dubrovnik,5.0,"It was a daunting experience, but once you got used to the heights and the stairs, it was exciting and stimulating. The views of the town and the sea were amazing and memorable.",Sep 2021
Croatia,Walls of Dubrovnik,5.0,The views are amazing.Make sure you get on the walls early if you want to have some freedom walking around. We managed to get on the walls for 830am and had a great walk around with hardly any tourists from 9am onwards it looked really busy,Oct 2021
