attraction,country,review,score,trip_date
Prague Zoo,Czech,"Great zoo, probably one of the best and biggest in Europe.
It has a wide variety of species from the smallest to the biggest ( jiraffe, hipo, elephants... and even polar bears!)

It is a perfect place to spend the full day, as it takes around 4 hours non-stop to visit all the installations. It also have restaurants, kiosks, machines, etc. and everything at a very affordable prices. They also have activities, shows and exhibitions for both adults and children.

It´s very recommended to get a map at the entrance of the zoo as well as the schedule of the activities and show, to make sure you don´t miss the important ones.

Conections to Prague City Centre are very diverse and very easy to get to the Park, using tramp/bus takes you directly to the main entrance.
Read more",5.0,Oct 2021
Prague Zoo,Czech,"Very well kept, clean and well signposted. Some very nice enclosures and some interesting animals to look at. We easily spent 3+ hours just wandering about. The only negative point is that as far as we could see all, bar one, of the cafe areas only had outside seating. It was cold and very windy when we went and not very pleasant to sit down and have a coffee. Our top tip: take a taxi there, it was about £16 there and back.",4.0,Oct 2021
Prague Zoo,Czech,"It was very good for a zoo, and offered a wide variety of species. I would have to complain about the amount of climbing done to see the elephants and so on. The cable car was very fun.",4.0,Sep 2021
Prague Zoo,Czech,"One of the most beautiful zoos I visited in Europe. Very large, to see it at your own pace, you need at least half a day. The natural setting of the area is very well used to create areas as close as possible to the natural environment of most animals. Easy to reach by public transport.
In many places there are kiosks where you can have a snack or a beer or a soft drink. Avoid going on weekends, it is extremely crowded.
I did not like that the map of the zoo is not included in the ticket price, as at other zoos I visited.",4.0,Aug 2021
Prague Zoo,Czech,"Lovely Place! I love Animals, and I havent visited much in zoos, because I think small places are harming Animals. But Prague Zoo was something different ♥️ Big places for Animals, and lovely lasdscapes.",5.0,Sep 2021
Prague Zoo,Czech,"Beautiful and spacious zoo.
Easily accessible through metro and bus from Prague center. The zoo is VERY big so be prepared for a lot of walking (and climbing the hills). There is a chairlift but unfortunately, it is not included in the admission price - which is a pity.
There are many rare and lesser known animals here, so be prepared to discover some new species! Many different food options, just don't expect haute cuisine.",4.0,Sep 2021
Prague Zoo,Czech,"Its almost 15 min by Uber from center of Prague.
Not far ,easy access,should buy ticket on entrance and the price is about 10 euro which is very reasonable.
Has many kinds of animal which i never saw,and each of them are divided by continent or climate,im sorry for some wild ones like tiger ,panter or fishing cat which are in very small area,but needs exactly one day from morning,unfortunately we went on sunday and zoo was full of people,sounds ,and children and i guess most animal were afraid ,so we couldn’t see many kinds of them specially wild ones.
The zoo had some signs to show where you have to go but in some parts also were not any signs and make you confuse!
Read more",4.0,Sep 2021
Prague Zoo,Czech,My favorite zoo in Central Europe. Only downfall is that food is rather bad. Just take some snack with you and you got it covered,5.0,Aug 2021
Cathedral of St. Peter and St. Paul,Czech,"not much to add. Another european town, another beautiful cathedral. As many as I have seen, it still never fails to impress. Hard to miss. Right in the old town.",5.0,Aug 2021
Cathedral of St. Peter and St. Paul,Czech,"Main cathedral in the city, very important historical place for this part of the country. Every day at 11 a.m. the bell rings as a memory of a legendary city defence: in 1645 after four months of confrontation with the Swedish army, the army commanders promised to leave the city if Swedes fail to break into the city by noon. The bells rang one hour earlier that since then 11 a.m. is a special time for Brno.",5.0,Aug 2021
Cathedral of St. Peter and St. Paul,Czech,"Beautiful gothic architecture, visible from all over the city. The interior is somehow on a different key but still very interesting, with some beautiful stain glasses and very interesting pieces of furniture.",5.0,Jul 2021
Staromestske namesti,Czech,"It is a beautiful place. There are several cafés and restaurants around.
Great architecture and museums around.

But is always very full of tourists. I went at different times of the day (since I was in Prague for a week) and it was always packed.",5.0,Oct 2021
Staromestske namesti,Czech,"This Place is the center of the old town. Multiple attractions and many good restaurants. Admire the astrological clock, Church of Our Lady and the Jan Hus Monument before you sit down in one of the restaurant for people watching.",5.0,Oct 2021
Staromestske namesti,Czech,"First time to Prague? 38th time to Prague? You can't go wrong starting here. So many photo opportunities, and see if you can pick the restaurant front from Mission Impossible where Tom Cruise blew out the front windows, killing all the fish and escaping cross the square.",4.0,Aug 2021
Staromestske namesti,Czech,"I walk through the square every morning when taking my daughter to nursery, just after 8am when everyone is nursing hangovers, nobody is blocking the way to watch the wonderful clock, even the pigeons are sleeping, the autumn light comes up through the cobbled streets, the waft of coffee is just started, the shops and restaurants are putting tables n chairs out. My daughter and I love to stop and circle 360 degrees, the spires, the clock, the ancient buildings and statues.
It’s a wonderful time of the day, a beautiful city, and amazing heritage, with the network of streets off the square take you all around the city.
What’s not to like
Read more",5.0,Oct 2021
Staromestske namesti,Czech,"We were there at night and it was amazing, so many architecture and old times atmosphere. Totally great night",5.0,Sep 2021
Staromestske namesti,Czech,"This square is such a delightful place. Historic and yet charming. Day or night it is a place not to be missed in the city. Clean and with many options for relaxing, eating and drinking… superb!",5.0,Sep 2021
Staromestske namesti,Czech,"I did a guided live-streamed tour of the Old Town with a guide from Prague City Adventures on Heygo. The tour lasted an hour. We started at the Municipal House which features a spectacular façade decorated with numerous statues and stuccos, as well as an enormous semi-circular mosaic on top of the main entrance. It is located next to the Powder Gate. The Municipal House is the most impressive Art Nouveau building in Prague and it houses the largest concert hall in Prague.
The Powder Tower, also known as Powder Gate, is a dark Gothic tower which serves as a gateway to the Medieval Royal Route, and is currently one of the most iconic buildings of Prague. This tower was built in 1475 and during the seventeenth century, the tower was used to store gunpowder, hence its name.
We walked down Celetna Road.
We also saw an example of Czech cubist architecture in the Grand Café Orient which is inside the House of the Black Madonna. We also looked at the display of cakes in the window. Some cakes are in the form of coronavirus while there is also one looking like a bottle of vaccine. When we reached the Old Town Square,
the guide was so lovely to give us the best postcard shots of the Church of Our Lady before Tyn. Its construction began in 1350, and it was finished in 1511. Nowadays, it is one of the most impressive Gothic buildings in Prague with its eighty-meter high spires. We also saw the Kinsky Palace, a pink-and-white Rococo manor in the middle of Old Town Square.
Our tour includes the viewing of the iconic astronomical clock found on the South wall of the Prague Town Hall. The Calendar Dial represents the months of the year. The Dial also has medallions with all the zodiac signs and the Prague Old Town symbol in the centre. It also has four small sculptures that don’t move: a Philosopher, an Angel, an Astronomer and a Chronicler. The Astronomical Dial represents the Universe. The dial includes a Zodiacal ring that shows the location of the Sun and the two clock hands are designed with a Sun and a Moon each. The show on the hour was a short one and our guide gave us a good view of it.
Read more",5.0,Sep 2021
Staromestske namesti,Czech,"This historic square was founded in the 12th century.

There are many beautiful buildings belonging to various architectural styles, including the Gothic Church of Our Lady before Tyn and the Baroque St. Nicholas Church.

The most important sight is the medieval astronomical clock mounted on the Old Town Hall. The Czech National Gallery is located in the Kinsky Palace.

You can find many cafes and restaurants with nice summer terraces around the square.
Read more",5.0,Sep 2021
Staromestske namesti,Czech,"The largest and the most beautiful square in Prague. Surrounded by very old buildings with beautiful architecture. Here is the most famous tourist attraction in Prague, the Astronomical Clock. Also here are the old City Hall and two old and beautiful churches. There are also several restaurants on the square sides.",4.0,Aug 2021
Staromestske namesti,Czech,This castle is soo beautiful! Prague is the most beautiful city in Europe and staromestske namesti is its heart. I made a lot of pictures there,5.0,Aug 2021
Staromestske namesti,Czech,"A very clean, well kept city center, a conglomerate of spectacular architecture. Several classy restaurants an excellent opportunity to realize the economic power of this historic city along the centuries.
Good taste and fine craving stone, several art jewelries which each can be declared world heritage patrimony...",5.0,Aug 2021
Staromestske namesti,Czech,"One of the must-see places, it is impossible to imagine a tour to Prague without this old square. A real place of power, always feels like you are inside of a fairy tale. Definitely now you'll meet there fewer people than usual due to the COVID restrictions, but still busy and beautiful.",5.0,Aug 2021
Staromestske namesti,Czech,Wow factor!! Such a beautiful place to sit and people watch! The buildings are spectacular and there is even a little green space!,5.0,Jul 2021
Staromestske namesti,Czech,"Beautiful place to walk around have a nice stroll. You can stop for food and coffee, or beer whenever, Most of the places have good menus and taste :)",5.0,Jul 2021
Staromestske namesti,Czech,"This is a lovely area to meander around. We also took a walking tour so got good information, however, enjoyed taking it at a slower pace and getting lost in the maze of small streets. Stunning architecture.",5.0,Jul 2021
Staromestske namesti,Czech,"So nice looking square with so many places to see and go! There are so much to see nearby the Square.
The athmosphere was so Nice.",5.0,Jul 2021
Staromestske namesti,Czech,"No trip to Prague is complete without seeing the Old Town Square. It is a large square, with the Gothic towers of church and town hall overlooking it. In the centre of the square is a large statue of Jan Hus, who was killed for standing up to Church and Empire in the Middle Ages and who is remembered as a hero in the Czech lands. If you go to the square in 2021 you may still see the faint marks of white crosses on the cobblestones; memorials to those who died in the pandemic, although these are fading and who knows if they will be preserved?",5.0,May 2021
