attraction,country,review,score,trip_date
Nyhavn,Denmark,"We spent time in this area in our 48 hour city visit. Luckily we had a local friend to guide us. A boat ride is a great start. See a lot of the city from water. (And mermaid!) plenty of coffee shops to try, we didn’t find a bad one. Evening restaurants probably better away from the front tourist traps. This is not a cheap destination for brits, so take care in selecting where you eat. Some very up market restaurants available if your pockets are deep enough! Shop wine is plenty full and reasonable, but massively marked up in bars. Enjoy, but watch out for fast silent bicycles at junctions and traffic lights. Enjoy.",4.0,Oct 2021
Nyhavn,Denmark,This place is full of history. Now mainly occupied with bars and restaurants. It does have a nice atmosphere. Most places provide heaters and blankets. A very nice place to spend some time and watch people. As can be expected prices are relatively high,4.0,Oct 2021
Nyhavn,Denmark,"The harbour is just so quaint. All the colours of the buildings, the multiple boats and the pumping energy just gives Nyhavn a very cool vibe. There are plenty of restaurants and bars to choose from if you want to indulge while taking in the views, or simply walk around while you admire its beauty. Either way, you win.",5.0,Oct 2021
Nyhavn,Denmark,Nice to walk through and take the touristy picture with the colorful houses in the background. Restaurants all look like tourist traps.,3.0,Oct 2021
Nyhavn,Denmark,"Of course, you must go to this iconic place but make sure you take the time to explore the rest of the city as much as possible. There's so much more to Copenhagen than Nyhavn!",4.0,Oct 2021
Nyhavn,Denmark,A must see when in Copenhagen. Its as picturesque as the images you see on Instagram albeit a lot busier.,4.0,Sep 2021
Nyhavn,Denmark,Gorgeous harbour area with plenty to see. The colourful buildings are very scenic and there’s plenty of food options nearby. A must-see if in Copenhagen,5.0,Oct 2021
Nyhavn,Denmark,"This is a beautiful place along the harbour. Plenty of colourful buildings, great place for photographs.
There are plenty of places to eat with a wide range of different cuisines.",4.0,Oct 2021
Nyhavn,Denmark,"Beautiful spot, to walk around and grabbing a bite to eat. Very relaxed and traveled on the canal boat to explore the sights of Copenhagen",5.0,Oct 2021
Nyhavn,Denmark,A best spot in Copenhagen. Take a seat in one of the caffe’s/restaurants. Don’t be afraid of the wind. They all give you s blanket to rap yourself in,5.0,Oct 2021
Nyhavn,Denmark,I did expect more from this area. The had some resturants but the menue where mor or less the same on every place. The food were also very much the same.,3.0,Oct 2021
Nyhavn,Denmark,"I always like this part of the city, it's quiet and popular in the same time, it's attractive, the shops, restaurants, and the small boats",5.0,Sep 2021
Nyhavn,Denmark,"This part is beautiful, you do not have to stay for long, the buildings are colorful and beautiful but tourist part and there is alot of cafes there too",4.0,Aug 2021
Nyhavn,Denmark,A must do for every tourist in Copenhagen first time. Even though it is very touristic it is not overprized and atmospehere is still Danish hygge.,4.0,Sep 2021
Nyhavn,Denmark,No visit to Copenhagen is complete without a visit to the picture postcard that is Nyhavn & it’s colourful fronted building façades.,5.0,Sep 2021
Nyhavn,Denmark,No matter what time of the year this walk next to the water with always be magical. And you will never see it to much. Beautiful and colorful houses with amazing Danish architecture. Great local beer and food. It’s a must see how ever many times you have been there.,5.0,Sep 2021
Nyhavn,Denmark,"A visit in Copenhagen is incomplete without spending time at Nyhavn.
Lined with colourfully painted townhouses, wooden ships, modern boats, musicians and lots of bars and restaurants.... it has a cosy and relax atmosphere that Denmark embraces.

In summertime (very crowded) Nyhavn is the perfect place to end a long day, enjoy a beer, a drink at the quaydside...",4.0,Aug 2021
Nyhavn,Denmark,"Absolutely beautiful harbor, especially when the sun is hitting it just right. I was expecting to be underwhelmed here but it truly is a beauty!",5.0,Sep 2021
Nyhavn,Denmark,"If you’re ever been to Copenhagen and never been here… you haven’t been to Copenhagen without being here! So simple…
Just go and you’ll know!!! 😍",5.0,Sep 2021
Nyhavn,Denmark,"what a cosy place in copenhagen, harbor district, but in the center of copenhagen, great place for lunch",4.0,Sep 2021
Nyhavn,Denmark,"Lovely street just made for photographs. I knew it was a ""must see"" when visiting Copenhagen. Hard to take a bad photo here. Lots of choices for food/drink and people-watching.",5.0,Aug 2021
Nyhavn,Denmark,"Harbor area. Fun with views. Easy access with public transportation. I stayed in hotel here for 5 days.
Lotsa of trinket shops and touristy overpriced restaurants and cafes that have average food. But the views are quite nice.
Near to many sights. Mostly tourists here.",5.0,Aug 2021
Nyhavn,Denmark,"Everyone has seen the view, but you have to see it for yourself. Great spot for lunch or an Irish Coffee after a canal cruise.",5.0,Aug 2021
Nyhavn,Denmark,"Very good. A stunning harbour, loads of colour, many cafe / restaurants. You can walk or the hop on hop off bus drops you there plus many boat canal trips leave from there.",4.0,Aug 2021
Nyhavn,Denmark,Sit there and enjoy your life. It is an amazing spot. Drink a wine and have a lunch or dinner. Make pictures and walk around.,5.0,Aug 2021
Nyhavn,Denmark,This is a really beautiful harbour among colorful houses and a lot of cafes and restaurants. It is pricey ofcourse. Bit worthwile to walk along. The most attractive atraction in Copenhagen.,5.0,Aug 2021
Nyhavn,Denmark,"Must see, busy harbour place sourrounded by colourful houses with mostly seafood restaurants. Good to enjoy copenhagen atmosphere. If u don,t want to spend a lot by a beer at a kiosk nearby and join the vibrant scenery at the harbour",5.0,Aug 2021
Nyhavn,Denmark,"Beautiful and relaxed atmosphere, great place for a walk or to stop at a terace and enjoy a drink. Many small boats to admire.",5.0,Jun 2021
Nyhavn,Denmark,"Amazing ambience, colorful houses, wonderful wooden sail ships, pristine water front placement, outdoor restaurants and bars. Easy access. Every city dreams of having such a place. Can sometimes be crowed, but you can always bring your own drinks and sit along the pier (lots of Danes do just that).",5.0,Jul 2021
Nyhavn,Denmark,"Really beautiful place with lots of restaurants. We were here during the day qnd in the evening and can recommend both. In my opinion a must see, when visiting Copenhagen!",5.0,Jun 2021
Nyhavn,Denmark,"It was a pleasure to stroll around Nyhavn - through the boats, the eateries and the danish flags. A beautiful place !",4.0,Jul 2021
Nyhavn,Denmark,This is one of the best place to visit during evening....the place is wonderful and you can get one of the best drinks around.,4.0,May 2021
Nyhavn,Denmark,I ❤️ Copenhagen. Nyhavn is the heart of beatiful Copenhagen. If you visit copenhagen this is a must see and must enjoy for dining. There is always many people here looking for the heart ❤️ of copenhagen to fall in love. Enjoy with a local beer 🍺,5.0,May 2021
Nyhavn,Denmark,"A must visit when you are in Copenhagen. A sunny day, just looking at people relaxing in the sun with a cold beer.",5.0,Jun 2021
Nyhavn,Denmark,I really enjoyed spending time in Nyhavn. It was very beautiful and filled with plenty of restaurants and ice cream shops. I would definitely recommend visiting this part of Copenhagen,5.0,Jun 2021
Nyhavn,Denmark,"This place is amazing to visit in evening. Bit crowds but still liked it.
We were staying near this area and we visited twice .
Really liked the place.",5.0,Mar 2021
Tivoli Gardens,Denmark,We came at Halloween and it was brilliant! I booked entry with unlimited plus tickets online the night before in the hotel. Rides were great and even missed some as I was too dizzy. Rollercoaster was fab. We done both haunted houses and my 12 almost 13 year old loved the whole day/night. Food was reasonable and nice. Smells and decorations really was brilliant. They spend so much time with pumpkins. We hit it lucky with weather as no rain. Had amazing time. Thank you! I also felt safe as some theme parks I don’t ( apart from disney and universal) .,5.0,Oct 2021
Tivoli Gardens,Denmark,"If I tried to explain this park, I think no words would be enough. I was there during the Halloween season, and can say that it is just magical. The whole decoration is unbelievable. I went there with a friend, and we took the unlimited pass ticket, which was 50 euros, together with the entrance ticket. We went inside in the morning, than went out around lunch and came back in the evening (with the same pass) to see the decoration during the night again, and I think that was the best decision we made. We could not get enough of the whole Halloween experience, even if we traditionally don´t celebrate it.
The rides are fun, not really scary, but children would love them for sure. I am 22 and I loved the whole experience inside, and would recommend the visit to a person of any age for sure.
Read more",5.0,Oct 2021
Tivoli Gardens,Denmark,"Fun for all ages. Massive food range to chose from, loads of rides. Kids old and young! Queues not to bad on our visit, local kids at school. Probably best avoided in summer, and or school holidays. A little more expensive than a similar U.K. day out! Be warned.",4.0,Oct 2021
Tivoli Gardens,Denmark,"I can't say enough about how magical the park is. Unlike any other park I've been to. Up there with Disney, if not better. Definitely recommend going during Halloween or Christmas. The park is fully decorated and adds to the magic!",5.0,Oct 2021
Tivoli Gardens,Denmark,"This is a must-see in the city, but I don't get why the ticket prices are so high. They grant you access to spend even more money on rides and stores once inside. I'm sure they could get more foot traffic without such high ticket prices.",4.0,Oct 2021
Tivoli Gardens,Denmark,"The Tivoli Gardens is not what it used to be.

They're now a profit-above-all business that are willing to fill the park way above capacity. Selling expensive free-pass wrist bands while there's a 30-60 minute line for even the basic rides cannot be a sustainable business as there's a limited number of fools in the world.

Getting a proper meal is only possible with a reservation a day in advance, and you're left with basic fast food options, obviously also with a 15-30 min line.
Read more",1.0,Oct 2021
Tivoli Gardens,Denmark,"This is a must when visiting Copenhagen. I recommend going in the evening when all the lights are on - it makes the gardens more magical. Downside, more locals will be there, so if you are there to enjoy as many rides as possible, perhaps go earlier. There is a lot to do and see.",5.0,Oct 2021
Tivoli Gardens,Denmark,A return visit after 45+ years. I remember being hugely impressed on my first visit but the Gardens are now massively commercialised with almost every square foot crammed with hospitality venues. The attractions and the visitors seem almost an afterthought. Still one of the highlights of the city but it's a gruelling delight.,3.0,Oct 2021
Tivoli Gardens,Denmark,You can't beat Tivoli Gardens. To find such a beautiful amusement park in the middle of a city is something else. We used to live in Copenhagen and would visit whenever we could. This time we went back as tourists and made the most of all we could for Hallowe'en. They have done it all so well and our kids loved it.,5.0,Oct 2021
Tivoli Gardens,Denmark,Visited gardens after the theme park but have been previously. Great gardens and all round atmosphere. Feels like the centre of Copenhagen,4.0,Oct 2021
Tivoli Gardens,Denmark,"It was unexpected, but a delight. Thought it was going to be less theme park, but enjoyed the vibe of it nevertheless",5.0,Oct 2021
Tivoli Gardens,Denmark,A throwback to a different time with a very nice ambience in the evenings. The laser light show is quite good albeit not a patch on Disney.,4.0,Sep 2021
