country,user_id,attraction,score,review,trip_date
Iceland,fikret oguz,Perlan,5.0,"We came here with hop on hop of bus. ideal for city tour. It's not a big city anyway.
but this is a place worth seeing and you need to spare at least 3 hours. It has a man-made ice cave inside. You can also see the northern light show in the movie theater.
You can go upstairs and see the city around the dome.",Nov 2021
Iceland,Paradise38831806033,Perlan,5.0,"Great place to visit. Excellent facilities very clean large, Good food and drink selections well worth a visit.",Nov 2021
Iceland,Linbol75,Perlan,4.0,This is about a 30 min walk from Reykjavik high street. You can pay to go into the different areas of the museum we walked up to the fourth floor viewing platform which is free to do. The panoramic views were stunning as were the views from the cafe on the 5th floor. Well worth a visit,Nov 2021
Iceland,Phoenix095,Perlan,4.0,"Apparently Perlan is the newest museum in Reykavik. The building is beautiful, with a glorious glass dome on top housing the museum's (light fare) restaurant. The exhibits focus on the natural history of Iceland--it's geologic origins and wonders, as well as its creatures and people.",Nov 2021
Iceland,stevenenhilde,Perlan,4.0,The museum is a essential visit in the city. Great planetarium and expo's about icecave and water. A little outside the city center.,Nov 2021
Iceland,Stefan G,Perlan,5.0,"Did the museum plus the Wonders of Iceland and the Arora Northern Lights Planetarium Show. Loved it. The light show was well done, to include the music, lighting, and storyline. The ice cave exhibit was literally freezing but fun; they built an ice cave in the museum! Then, the museum itself - wow, very in-depth and educational. Information overload regarding the geology, flora, and fauna of the island. One can easily spend several hours here. A zipline attraction is also available, though I myself did not do this.

Plenty of parking. Well worth a visit. Highly recommended.
Read more",Jul 2021
Iceland,HeardItBothWays,Perlan,5.0,"My husband and I visited the Perlan Museum - Wonders of Iceland and Aurora Northern Lights Planetarium Show and thought it was an interesting and educational way to experience a little bit of many aspects of Iceland's geology!

There are several floors of exhibits that showcase the nature and geology of Iceland. We really enjoyed the replica of the cliffs with the wildlife replicas such as the birds and the arctic fox. There was a taxidermy polar bear as well. We also enjoyed the volcanology videos and exhibits.

The ice caves were a lot of fun to explore, especially since we were visiting too early in the season to appreciate them ""in the wild.""

The planetarium show was very enjoyable and explained the science and mythology behind the auroras.

Masks were required when we visited. Because I wear glasses, it made it difficult to appreciate the exhibits because they kept fogging, especially in the chilly ice caves. It would definitely be a better experience post-pandemic.

The ticket prices were high-ish but not unexpected for this kind of museum. It's definitely worth a visit!
Read more",Sep 2021
Iceland,Neil Haynes,Perlan,5.0,"If you don't have time to explore the natural beauty of Iceland for real, goto the Pelan Museum and enjoy the restaurant in the dome to finish your visit.",Nov 2021
Iceland,Lauren R,Perlan,4.0,"This was our 5th trip to Iceland and we had always wondered what that structure was. This last trip we found out it was now an interactive museum with informative, interesting exhibits about Iceland and an ice cave to explore. There was also a zip line but we had not booked it. The people who were on it seemed to really be enjoying it! While it was just my husband and I this would be a great place to visit with children.",Oct 2021
Iceland,Bonne S,Perlan,5.0,We spent several hours at Perlan on a downpour rainy day. All of the exhibits are very wonderful in nicely contrasting ways. I especially enjoyed the historic timeline exhibit after the planetarium show. Read every description and it really helped me learn the history of Iceland in a meaningful way. The Ice Cave lightens the mood and is very much fun! Memorable way to spend a dreary Icelandic day. Even the observatory deck was with it!,Oct 2021
Iceland,Melinda H,Perlan,5.0,"Loved this place! Great basic information on volcanoes, northern lights, an ice cave, - all presented in a very entertaining and safe manner. Highly recommend",Oct 2021
Iceland,Peter_vB2015,Perlan,5.0,While in Reykjavik you have to visit the Perlan. On top of the information regarding Northern Lights it provides a very good and interesting overview of how Iceland was formed/created over the 10.000's of years. And do not forget to visit the ice cave while there!,Oct 2021
Iceland,JudyRue,Perlan,5.0,"This museum was fascinating - the planetarium was super. So was the ice tunnel. Displays were in English as well as Icelandic, which I appreciated. The view from the top floor was wonderful.",Sep 2021
