country,attraction,score,review,trip_date
Italy,St. Peter's Basilica,5.0,"Fantastic experience in a place full of history and spirituality, even for an poor old pagan as myself. Impressive and beautiful. Free of charge. Sometimes long queues to enter.",Nov 2021
Italy,St. Peter's Basilica,5.0,"We walked in at the start of 5 o'clock mass and it took my breath away. We heard the organ, the choir and the service while we took in the incredible art and history in the basilica. Not to be missed, regardless of religious background!",Oct 2021
Italy,St. Peter's Basilica,5.0,"Simply awesome and absolutely beautiful. Stand at the entrance and try and take it all in. Huge paintings, sculptures, mosaics there’s so much to see. Pope John Paul II mausoleum simple but powerful. Confessionals for those inclined to take confession. Hard to believe this is a church still in use and not just a tourist attraction. Certainly the highlight of my trip to Rome. Even if you’re not religiously inclined I challenge you not to be awestruck by this building. Free to visit (fee charged for climbing the dome).",Sep 2021
Italy,St. Peter's Basilica,5.0,"One of the most iconic (if not the most iconic) churches in the world. It is just HUGE, it is beautiful, it is incredibly decorated. Underneath is the necropolis with the graves of the popes and of course at the higher level of the dome the view can take your breath away.",Oct 2021
Italy,St. Peter's Basilica,5.0,"we queued on the day for about an hour and did the dome tour. Lots of steps, very steep and gets hard on the legs but so worth it if you can do it!! the views from inside the church and from the top of the Dome of Vatican and Rome were AMAZING. So reasonable at 8 Euro each as well! Church is free. We loved it.",Oct 2021
Italy,St. Peter's Basilica,3.0,we had considered buying 'skip the line tickets for both st peters and the vatican and are glad we saved our money. the wait times were not too long and we saw many guided tours having to wait a while anyway. tip get the elevator ticket for the dome just 10 euro but there are a lot of steps so you'll need to rest now and again.,Oct 2021
Italy,St. Peter's Basilica,5.0,This is an amazing art and architecture place to visit. Don’t miss it. Moreover it’s free. You really are in the heart of the catholic church. The mosaics are incredible. Photos are allowed.,Oct 2021
Italy,St. Peter's Basilica,5.0,"We booked a private St. Peter's Basilica Dome Climb through ""Get Your Guide"". Mr Samuele was an amazing guide. his English was impeccable, his knowledge encyclopedic, and his passion for the art of St. Peter's was obvious. Thoroughly enjoyable climb to the Dome which provides you with incredible panoramic views of Rome and the Vatican. Mr. Samuele identified the many sites you could see and explained what they were and when asked gave information on how to 'get' to them. His tour through the Basilica and crypts was filled with information on the art and artists represented. He did not limit his tour to 'the big ones' but highlighted many lesser know works and their creators. We recommend him without reservation.
Read more",Oct 2021
Italy,St. Peter's Basilica,4.0,We did not go inside the Basilica due to time constraints. The exterior is amazing by itself. Add in the size of the plaza and the other buildings and it’s worth your time.,Oct 2021
Italy,St. Peter's Basilica,5.0,"Women should NOT wear shorts, skirts above the knee, tops with lots of cleavage or bare shoulders.

Monitors stand at the entrance AFTER the metal detectors & reject people who are not dressed appropriately for entering a house of God.

Why edit in line fir an hour to be turned away?
Be respectful and dress fir church, not a nightclub or the beach.

Once inside, it is a working church, so low whispers are encouraged. Selfie sticks will get swatted down... it’s just too crowded.

Read more",Oct 2021
Italy,St. Peter's Basilica,5.0,"Booked a private guided tour of St Peters church and couldn’t be more happy. We got picked up at our hotel and in 10 minutes we arrived at our meeting point. There is to much to say about the whole experience, so it’s better to just lay it down to , this is a must place to visit no matter what. So so impressive and humbling, the whole scale and beauty of everything is overwhelming. Outstanding!",Oct 2021
Italy,St. Peter's Basilica,5.0,"The Main catholic cathedral is really majestic. One of the biggest cathedrals of catholic world painted with frescoes by famous Italian painters. Must be visited definitely. It is free of charge just be respectful for believers and people who visit the cathedral to pray. Dress code is simple- no naked shoulders or knees, so no short skirts or shorts. At least have extra cloth to cover what guards ask you to cover otherwise they reject to let you in.",Oct 2021
