country,attraction,score,review,trip_date
Netherlands,Rijksmuseum,5.0,"This is a magnificent museum with incredible collections. It's a must see when visiting Amsterdam. Purchase ticket online prior to visit to reserve entrance time...even with that though you will still need to stand in line to get in. However, the line moves quickly.",Nov 2021
Netherlands,Rijksmuseum,5.0,It is one of the best museums in Netherlands. If you have 3/4 hours time than you have to visit it. You can buy ticket directly infront of the museum with QR code. Inside you also have a restaurant and cafeteria.,Nov 2021
Netherlands,Rijksmuseum,5.0,Very clean and excellent display of everything! I did not feel that any room was overcrowded with people or art. There is a coat check and restrooms were spotless.,Oct 2021
Netherlands,Rijksmuseum,5.0,"I think, that the art collected in this museum gives the visitor great study of The Neverlands history and art development over centuries. This is one of the best (if not the best) museum in Amsterdam. One cannot miss it during stay in the city.
I think it is the only museum worth the ticket price!",Oct 2021
Netherlands,Rijksmuseum,4.0,"Loved it, must visit when your in Amsterdam, so good that Rijksmuseum is open again for public after covid.",Oct 2021
Netherlands,Rijksmuseum,5.0,This was a good museum to understand not nly art but also the history of the Netherlands. One could spend the whole day but it may still not be enough,Oct 2021
Netherlands,Rijksmuseum,5.0,Stared in wonder at Rembrandt's most famous works. No words to express how that felt; will treasure that forever.,Oct 2021
Netherlands,Rijksmuseum,5.0,"Most beautiful building in Amsterdam! I love the gardens, which are a kinda of secret and hopeful will stay open throughout the winter.",Oct 2021
Netherlands,Rijksmuseum,5.0,"If you love art, this is an essential stop. ""The Night Watch"" is currently under restoration, but it is still observable from behind the large protective glass window for those who work. A little disappointment for us, but acceptable given the importance of the work.",Oct 2021
Netherlands,Rijksmuseum,5.0,"I spent almost 6 hours there and time just flew by. It’s a bit difficult to navigate the space, but the quality of the art work are top and they are beautifully curated and presented. I especially enjoyed the current exhibit of “Remember Me” in the side wing.",Oct 2021
Netherlands,Rijksmuseum,2.0,"Night watch has been torturously poured over by computer wizards for 5 years. I suggest they do their computer wizardry at night so the rest of us can just admire the master painting.
I like having a free audio app. However, there were no words that guided me from place to place so I was usually lost unable to find the highlighted item in the tour. Lastly, the timed entry may have been critical at certain times of year. Now, it seemed ludicrous that people were being sent away with a half empty museum because they're smartphones do not have international service and could not buy their tickets online. And, a little disappointing that the whole museum shuts down at 5:00",Oct 2021
Netherlands,Rijksmuseum,5.0,The title says it all. It also contains other exhibits such as old weaponry and models of ships. It is well worth the time and cost.,Sep 2021
Netherlands,Rijksmuseum,4.0,"Awesome experience, very nice building and paintings. Very big, so you have to take your time. Nice to do on your own.",Oct 2021
Netherlands,Rijksmuseum,1.0,"What the Rijksmuseum doesn't tell you on their website is that in order to access the Museum Shop or the Museum Cafe you must have purchased an entry ticket of 20 Euros !!

I understand the need to control the numbers of people access the building during these times of Covid but there should be some accommodation. Tickets can be checked past the access to the shop and cafe.

Of course, this won't deter people from going to the Museum, which is incredible of course but just a notice to the public since the Rijksmuseum website doesn't advise that the shop and cafe are not accessible to everyone
Read more",Sep 2021
Netherlands,Rijksmuseum,5.0,"There is an unbelievable wealth of art, of all kinds, from 1100 onwards. If you want to view it all you will need at least 4 hours - but if you want to focus on specific areas and tours, the online guides provide excellent options to focus on highlights or certain specific timeframes or themes.",Oct 2021
