country,user_id,attraction,score,review,trip_date
Norway,Zvi,Fram Museum,5.0,"A very nice museum about the polar explorer. There are 2 buildings, each with a ship you can go onto and explore. There is also a lot of information and other things to see around the museum. Very nice.",Oct 2021
Norway,costas,Fram Museum,4.0,Someone must spend at least 2-3 hours minimum to fully enjoy this unique museum. It is very interesting to say the least,Aug 2021
Norway,Patrick D,Fram Museum,5.0,"The museum is located on the Bygdøy peninsula. It tells the story of the polar conquest, and of the Fram vessel, built especially in 1892 for the explorer Fridtjof Nansen, who used it in 1893 to explore the Arctic Ocean. During the first campaign to the North Pole, the Fram was taken by ice. Its rounded shape allowed the boat to be pushed back to the surface of the ice where it remained until the thaw.
It was used a second time in 1898 by Otto Sverdrup who led his own Arctic exploration expedition and attempted to go around Greenland via Baffin Bay.
The Fram was also used by Roald Amundsen on an exploration mission to the South Pole between 1910 and 1912..
The Fram is on display in its original version, with interior fittings and objects intact.
Really impressive .. Must a visit
Read more",Dec 2019
Norway,Catherine L S,Fram Museum,4.0,"Well-made museum -- but if this is not your type of thing, you might not want to spend too long here. The whole peninsula is fascinating, however, so it's worth a trip there... just maybe not so much time in this museum if it's not your thing... so much more to experience... the charming natural history museum, that is mostly outside, is far more enriching. And, of course, there is the Kontiki exhibit (mostly recommended for boys between 8 qnd 14). A trip to the peninsula is definitely worthwhile... you can go by boat/ferry, or take a bus (less charming).",Sep 2020
Norway,veggiedyke,Fram Museum,5.0,"Really fascinating. They have thought through how you can explore the entire ship (and keep social distancing!) by having a clear path to follow. So much info. The extra activities for children (the cold room, the igloo, etc) were also fun, though I didn't like the gun one.",Aug 2020
Norway,Anita & Steen,Fram Museum,5.0,Extremely well designed exhibition. You really get a strong impression of the hard conditions the polar explorers had to suffer 4-5 generations ago. A must-see location in Oslo.,Aug 2020
Norway,lyndawilson72,Fram Museum,4.0,"Informative and well-laid out museum detailing the polar expeditions.
Amazing to see the Fram boat and be able to wander through this piece of history.
Great views across Oslo harbour from outside. Small grassy & beach area where we went for a swim on a sunny August afternoon.
Worth an hour or two of your time.",Aug 2020
Norway,LauraSanengen,Fram Museum,1.0,Boring and uninformative...do not waist your money on this place please. Plus I’ve heard they treat their employees terrible.,Aug 2020
Norway,Graham L,Fram Museum,5.0,"The banner that greets you as you arrive at the Fram Museum tells you this was the 2018 Norwegian Museum of the Year here on Trip Advisor.

Why? Well because it tells the story of Roald Amundsen and his fellow intrepid explorers who became the first to reach the South Pole in December 1911. They story is simply presented and is easily digestible with some great photos and even name checks some of the forgotten ""heroes"" - the dogs that pulled the sleds all the way to the pole.

The fact that Amundsen beat Captain Robert Scott to the pole by five weeks is reflected, too, but there's nothing overly partisan about that. Just huge respect for these amazing pioneers.

The star of the show is The Fram, the boat that took Amundsen and co to Antarctica and even following Covid social distancing did not diminish the sense of adventure clambering the decks.
Read more",Aug 2020
Norway,Hanah,Fram Museum,4.0,"Fram Museum in
Bygdoeynesveien 39 yous shoudl see, it is a fantastic experience to go there and spend some time",Jul 2020
Norway,Blyth Resident,Fram Museum,5.0,"The Fram museum is stupendous for friends and family alike. Afterwards I strongly recommend visiting the Oslo graveyard and pay respects to Edward Evans (another famous polar explorer), Edvard Munch and Henrik Ibsen. Their graves are all in close proximity.
Fram is superb for kids and families
Avoid kon tiki. Same price but crap",Jun 2020
Norway,1979Chas_Deb,Fram Museum,5.0,Fram Museum is very interesting with its key being the historical boat that travelled to the far north and south polar regions. It was nice to actually walk its deck and trek trough the 'cold' room.,Sep 2019
Norway,mikiza,Fram Museum,5.0,"Well preserved ship used for polar expeditions by Norwegian explorers including Roald Amundsen. In front of the museum there is also a statue of explorers facing the Oslo's bay.
You can explore the ship and read details about preparations for expedition (the ship was specially strengthen and left on purpose to be fully ice/locked to test the strength and shape of the hull, as it was designed to be uplifted by the expanding ice rather than to be locked and crushed).
While on upper deck the multimedia projectors project (on the walls and ceiling) the night sky of polar regions and icebergs floating around ship to give you a hint of what it looked like to be onboard. The ship even has a slight vibrations as if its diesel engine is still powering the ship.
Inside ship you can see crew's compartments, dining room, storage...
Great experience!
Read more",Feb 2020
Norway,66AMS,Fram Museum,5.0,"This is amazing, a must when in Oslo an easy bus ride from the city centre. The self guided tour is excellent, you go inside and outside the ship. The video displays are excellent. The whole museum is very informative with lots of displays and information boards. The best maritime museum I have visited.",Feb 2020
Norway,Ylenia A,Fram Museum,5.0,"I didn't know about this expedition and I found that learning about it by going on the ship, seeing what it must have been like to live and work on it, give a try at the daily polar activities (like load a sledge, try and drag it, shoot animals etc. ) was the best way. It's interactive (brilliant for children!) and fun. The bar is also polar-themed so a plus if you need a bite.
It was a bit crowded but there's enough space for everyone to go around on the ship, inside and around the exhibit. Well worth the money (and time)",Feb 2020
