country,attraction,score,review,trip_date
Spain,Basílica de la Sagrada Familia,5.0,"This is worth the visit To Barcelona on its own!

Is place is so beautiful, I was almost moved to tears when I saw the inside.

Please visit here! It’s well worth the 24€",Nov 2021
Spain,Basílica de la Sagrada Familia,5.0,This definitely a must visit place. I highly recommend the audio tour. So many interesting facts about the building and its history. Do not miss!,Sep 2021
Spain,Basílica de la Sagrada Familia,5.0,"It seems to be taking forever but each time we come back to The Sag Fam there seems to be tantalisingly more to see and marvel at. On our visit we were told that the continued expansion apparently horrifies local residents who consider that since Gaudi has been dead for a hundred years, perhaps his plans and creative flow can be disregarded before they become uncontrollably libertine. And yet looking up at both inside and out, particularly the outside, the skill and ingenuity of the sculptures, the scale and proportion of the spires, particularly the one that may become twice as high as all the rest, there is no doubt that it’s a marvel that should not be stunted as it glides through its prime. Of course there is an evolution, most wonderfully demonstrated by comparing the two ends.
Read more",Nov 2021
Spain,Basílica de la Sagrada Familia,5.0,"On our last trip to Barcelona 10 years ago we only went to look on the outside as we hadn't been organised enough to get tickets, so this time I made sure I booked them ahead of our trip!

The audio tour was good, explaining everything to you, although we did get a bit lost at times of what we were suppose to be looking at! In the end we just walked around being amazed at what we were looking at, and there was really so much to look at! We were there around 11am and the sun shining through the stained glass windows was amazing - definitely a good time to visit.

I would highly recommend visiting - it was one of the highlights of our trip.
Read more",Oct 2021
Spain,Basílica de la Sagrada Familia,5.0,My favorite attraction in Barcelona! Gaudi was amazing and this is one of the products of his genius. Recommend the tour with tour guide. My 4th time visiting Sagrada and always learn something new,Oct 2021
Spain,Basílica de la Sagrada Familia,5.0,"We took an audio tour and learned so much, the tranquility within the Basilica was moving. I feel like I could go visit many times over and uncover additional details of Gaudi's genius.",Oct 2021
Spain,Basílica de la Sagrada Familia,5.0,"excellent visit , highly recommend , absolutely stunning inside and out , a must do for any visit to bcn",Oct 2021
Spain,Basílica de la Sagrada Familia,5.0,"We have visited before and perhaps due to the pandemic or because they did prior, but the experience was much less chaotic than it used to be. The audio guides on your own devices and better entrance process makes it all much easier. As before, we had made advanced reservations - which is definitely recommended

The experience inside and out is uplifting and awe inspiring. I would love to go up in the tower, however that portion not available due to COVID. Next time!",Nov 2021
Spain,Basílica de la Sagrada Familia,5.0,This basilica is amazing! It is very difficult to comprehend how one man could come up with such fascinating and amazing architecture and design! The audio guide was spot on with the details and the fact that you could use your mobile phone instead of a player was nice too. I hope to return when we can once again experience the towers from a higher vantage point.,Oct 2021
Spain,Basílica de la Sagrada Familia,4.0,"I have been to the Basilica twice (note that you can buy the tickets for half the price mentioned here direct from their website). It was really a special experience the first time with the colored glass and music, and then the museum below. The museum is really fascinating.

On 2nd visit, I felt like the employees were not too polite in screening us through - and felt even at 25 eu it was too expensive. The music is sporadic. Its always full of people taking cell pictures. You can't go up any of the staircases.",Oct 2021
Spain,Prado National Museum,5.0,"We came here with a local friend. There was so much art to discover as we aren’t Spanish art connoisseurs. It opened up the whole new world of art for us. Among great less known artists, you will, of course, see works of world-known Goya, Velazquez, El Greco, Bosch.",Nov 2021
Spain,Prado National Museum,5.0,"The Prado is superb, really worth the visit. Taking the guided tour really helped understand it so much better and Elias our guide brought it to life in such a fantastic way. It was definitely worth having the guided tour and skip the line tickets.",Nov 2021
Spain,Prado National Museum,3.0,"A great museum, but its current state knocks off two stars. Too many things are ""closed"" without any advanced warning. Lots of construction and lots of noise. With so many things closed, we felt let down by the overall offering.",Nov 2021
Spain,Prado National Museum,5.0,"A dive into art
Unforgettable experience
The personnel in the exhibition rooms are very prepared
It’s never too late to visit El Prado",Nov 2021
Spain,Prado National Museum,4.0,"I was able to visit l the museum this past month ( October). Very nice painter, history and art, you can find some of the most important art , I recommend this museum for sure. The staff is friendly , at the entry you leave your belongings specially if you are using a backpack or larger purse. There was a complementary entry to the "" copy of la Mona Lisa"" at the museum, no photos are allowed to take. There is also a cafeteria if you get hungry with different choices to eat. The museum uses a protocoles due to covid, nothing different from others places( wear your mask , hand sanitizer stands etc ) Had a very great time!
Read more",Oct 2021
Spain,Prado National Museum,4.0,"Great painters.
Wonderful paintings.
Nice building.
App with information would be improvement.
Due Corona sager working with timeslots. Bit crowded at some places.",Oct 2021
Spain,Prado National Museum,5.0,"What an amazing experience. Velasquez, Bosch, Rubens, Goya, this museum is full of some of the world's most important art. Super recommend.",Oct 2021
Spain,Prado National Museum,5.0,"From my first visit in 1977 when I spent 4 days studying, sketching, absorbing as much as possible as an art studio to my visit in 2008 and now this year, this collection is still one of the most important to visit. Its collection of european and spanish masters is unrivaled, or at least commensurate with the kunsthistoriche in vienna.
there seems too much to see in too little time even when i spend the whole day there.",Oct 2021
