country,user_id,attraction,score,review,trip_date
Sweden,dennys34,Vasa Museum,4.0,The whole ship in the building where very impressive - you get all the information how life was in the ancient times - lots of history,Oct 2021
Sweden,ExperienceCatcher,Vasa Museum,5.0,"It's impressive! The history of the ship and it is presentation take all attention during visiting. It's great for adults and children. The guidance is done in many languages, so that almost everyone can understand the story of Vasa.",Oct 2021
Sweden,Harry J,Vasa Museum,5.0,In addition to the amazing restoration of the ship there is so much interesting history of the life and times of that era.,Oct 2021
Sweden,Krzysztof K,Vasa Museum,5.0,"A unique museum. Interesting, showing an old ship but in a modern way. Everyone can find there something for them.",Oct 2021
Sweden,VLI66,Vasa Museum,5.0,"This is a fascinating museum. We took the ferry to get there and had a wonderful walk back to the centre after
Don’t miss the film! It sets the scene.",Oct 2021
Sweden,DorisHeimgartner,Vasa Museum,5.0,"In my opinion, the Vasa museum is how a museum should be:-). It has this awe inspiring ship on display and super interestig information boards as well as artefacts they retrieved from the water around and within the ship on 4 storeys.
Unlike many other museums, this one's definitely exciting for kids too.
If you're in Stockholm you totally have to go there.",Oct 2021
Sweden,Kathy,Vasa Museum,5.0,"I didn’t know the story of the warship before going in, but entering the museum and taking one look at the display and I was captivated. It was so incredibly interesting and the displays were varied and so well done. Just spectacular!",Oct 2021
Sweden,Gunnar W,Vasa Museum,5.0,"In these corona times it is not at all crowded in the museum and you can spend the whole day watching all interesting things. The Vasa ship is not the whole story, everything from that time is so interesting to see.",Sep 2021
Sweden,Fred K,Vasa Museum,5.0,"I see why this is one of Europes biggest attractions.
Before you start the tour around the ship. Watch the short movie about the ship and the disaster maiden voyage.
I would guess you need 2-3 hours in there.",Aug 2021
Sweden,Jakub G,Vasa Museum,5.0,When someone visits Stockholm in my opinion the Vasa Muzeum is the attraction everyone should visit. Amazing experience with a lot of interesting facts about this Vasa ship and Sweden history.,Sep 2021
Sweden,Jan G,Vasa Museum,5.0,Extremely popular so go early. It is truly a magnificent sight to see a 500 year old ship in such condition.,Sep 2021
Sweden,Torutoper,Vasa Museum,5.0,Amazing museum in which the audioguide brings this ship to live. It's also on of the few museum which might dissappear in x years as it's not sure that they can preserve the ship forever. Very impressive!,Sep 2021
