country,attraction,score,review,trip_date
Switzerland,Old Town,5.0,Lovely place for a walk along the cobble streets. It looked particularly well lit up at night. We felt safe and the streets are generally well cleaned. Nice atmosphere at this time of year,Oct 2021
Switzerland,Old Town,5.0,Lots of very good quality restaurants in historical buildings. Very nice to visit and walk this area.,Sep 2021
Switzerland,Old Town,5.0,"The own town has so many charming old buildings with interesting shops, cafes and restaurants. We walked up to the Lindenhof for the views.",Oct 2021
Switzerland,Old Town,5.0,This is such a beautiful part of town. Climb a huge church tower to get amazing photos. Shopping definitely is for a wealthy class but the walk is great. Its busy but you can walk this whole street to catch a tour boat to Lake Zürich.,Sep 2021
Switzerland,Old Town,4.0,"It’s fantastic. Although most of the shops close at 6 o clock and traffic to come here might be bit heavy until 7-8 o clock!
So time yourself earlier side!
And park your car in the parking houses as the street parkings are usually time limited for 2-3 hours .",Aug 2021
Switzerland,Old Town,5.0,"Great old town with plenty of bars restaurants and sites to see. Runs along the river Limmat down to Lake Zurich

So many old churches and cathedrals which compete with each other when the bells toll resulting in an amazing cacophony of noise at certain times of the day which is great

Plenty of small squares with chairs left out to sit and enjoy life and people watch in the sun

Cobbled streets and old facades to wonder at and small lane ways to explore

Like any old town spend time here and fine some hidden gems in the form of old shops cafes and eateries
Read more",May 2021
Switzerland,Old Town,5.0,"Zurich is clean and pretty! Beautiful churches, houses and fountains, bridges ans narrow streets, don’t miss the walk along the river Limmat up to the lake.
Go for a boat trip during Summer.
No restaurants nor bars open during this Covid time, but nice meals at our hotel.",Feb 2021
Switzerland,Lake Zurich,5.0,"We took a boat trip on the lake, started in Thalwil. For 3 hours we enjoyed a tasty meal, with a lovely wiev on Zurich lake and countryside around it. Absolutly beautiful and relaxing.",Oct 2021
Switzerland,Lake Zurich,5.0,We walked along the waterfront parks in the city and visited the Le Corbusier Pavillion museum and Tinguely sculpture in Zurich - Seefeld. Loved the building and surroundings.,Oct 2021
Switzerland,Lake Zurich,5.0,What a beautiful lake to cruise on!! The Gold Coast on the left and the Cold coast on the right. Saw Tina Turner’s house!! Lindt chocolate factory and many sights!,Sep 2021
Switzerland,Lake Zurich,5.0,Lake Zurich is a beautiful spot to just sit and enjoy . U can go on a leisurely boat ride or just sit by the banks and soak in the lovely atmosphere,Sep 2021
Switzerland,Lake Zurich,5.0,"I did not have time to swim but I found this lake charming, it is very large and the water had a beautiful color.",Sep 2021
Switzerland,Lake Zurich,5.0,"WE found that everyone came to the shores of the lake. Many tourist and shopping attractions in the area or just sit on a bench and observe people go by, both local and tourists.",Aug 2021
Switzerland,Lake Zurich,5.0,"beautiful lake, wonderful especially from the Zurich promenade or the cruise ship from which you can admire the mountains and towns around the lake. The wonderful color of the lake.",Jul 2021
Switzerland,Lake Zurich,5.0,"Awesome, absolutely awesome. No matter what part of the day you come here there is always something to observe.

Just follow the main street and it will lead you right to the lake.

You can enjoy the sound of the bustling city while you sip your coffee on a bench. Or you go for a morning jog. There is something for everyone. Personally, I find the east part of the lake more interesting.

Being very visitor-friendly, you can spend long hours here watching boats, water birds, traffic and people rushing by. Definitely recommend.
Read more",Jul 2021
