country,attraction,score,review,trip_date
Turkey,Dolmabahce Palace,4.0,"This should feature in your Istanbul top 10 to-dos list, whether you are interested in history or not. It is beautifully located on the Bosphorus (best viewed from a boat or ferry on the river) and some of the rooms are visually stunning. The exhibitions in the main palace are also very good, with some exquisite exhibits such as jewelled coffee sets. Unfortunately, the Harem is hard to appreciate after visiting the main building as the rooms then seem rather repetitive. The audio guide is worth using and not too long. The museum pass does not cover entrance to the main part of the palace but covers entrance to the Harem.
Read more",Oct 2021
Turkey,Dolmabahce Palace,4.0,"Very beautiful palace and well preserved. This palace is a work of art with so much history, ornately painted walls and ceilings and of course furniture. In addition the palace grounds are beautiful. Definitely a must see if in Istanbul.
Read more",Oct 2021
Turkey,Dolmabahce Palace,5.0,"Ottoman empire moved from Topkapi Palace to this one and it's one of the most beautiful places to visit in Istanbul right on the Bosphorus. Better to buy online tickets to avoid long queues.
Read more",Sep 2021
Turkey,Dolmabahce Palace,5.0,"We were there for 3+ hours and did not have enough time. Gorgeous. Quite a transition from the old style Topkapi Palace to the new European style Dolmabahce. Too bad it cost a quarter of the national annual revenue and caused Turkey to go into default eventually.
Read more",Sep 2021
Turkey,Dolmabahce Palace,5.0,"Impressive building. Its sad that you cant make photos inside but still amazing. Full of gold and ivory inside, ricj palace
Read more",Sep 2021
Turkey,Dolmabahce Palace,4.0,"Great palace, one of Istanbul’s icons and a must-visit spot whenever you’re in the city, the fees for the full package(the harem, the painting museum and the main palace itself) is 200 Lira(approx. 23$) per person, and unfortunately the museum card(Müze Kart) doesn’t work here which is a shame, but overall it was very nice experience to see the Ottoman/Turkish heritage mixed with European architectural influence, unfortunately taking pictures is not allowed which is really a shame because everyone wants to take pictures and keep them as a memory for themselves, especially in such an amazing place, but overall it was a pleasurable experience and i do recommend it to everyone visiting Istanbul.
Read more",Aug 2021
Turkey,Dolmabahce Palace,5.0,"One of the most beautiful palaces I have ever seen, constructed on the most beautiful places on the world, Bosforus.
Definitely worth visiting!
Read more",Aug 2021
Turkey,Dolmabahce Palace,5.0,"I recommend to visit all palace to see the every room with its past. ""The Versailles of East"" is very interesting for the paintings from every hall and the objects , for example an old semiautomatic pistol. The Ceremonial Hall it's very big and beautiful, when I saw I imaged how a ceremony how it looked.
Also the Harem has interesting things.
Read more",Aug 2021
Turkey,Dolmabahce Palace,5.0,"I first noticed this palace when on a Bosphorus tour and I had made up my mind to definitely pay a visit. A small walk away from the Kabatas pier, this palace is unmistakably a must visit for any traveller to Istanbul. Expect to spend a full morning and afternoon here, marvelling at the craftsmanship and luxury of the Ottoman empire. Well worth a visit.
Read more",Jul 2021
Turkey,Dolmabahce Palace,5.0,"The view coming toward the palace is amazing.. I think it is the best part. The other special thing is the crystal staircase - but actually we enjoyed Beyerlari Palace way better...
Read more",Jul 2021
