_id,country,attraction,score,review,trip_date
618a25516fe3f9d3e440843b,UK,Tower of London,5.0,Got a bogof online! had to produce train tickets on arrival. DEF join a beefeater tour ! 403 was the best ! Hilarious engaging and extremely informative. He must surely be the best guide! We had a fab 3 hours there. Quiet friday morning! Thanks,Nov 2021
618a25516fe3f9d3e440843c,UK,Tower of London,5.0,Learned so much more than I expected. Wild animal roaming the grounds! Tower within a tower within a tower! Actual crown jewels on location. Ravens too!,Nov 2021
618a25526fe3f9d3e440843d,UK,Tower of London,4.0,One of the iconic sites if London on the banks of the Thames. I walked round as not open at the time I visited but still a thrill to see the tower,Nov 2021
618a25526fe3f9d3e440843e,UK,Tower of London,5.0,So interesting. We loved all the history. Lots of opportunities for some great photos. Plan to spend at least an hour or more.,Oct 2021
618a25546fe3f9d3e440843f,UK,Tower of London,5.0,"Great place to visit. Lots of British and Tower history given by the Beefeater guides. Many different museums, with a variety of artifacts such as swords, armour, crown jewels, beefeater history, white tower and beautiful small chapel.",Nov 2021
618a25546fe3f9d3e4408440,UK,Tower of London,5.0,We took our two grandsons and they loved it they were very interested in all the armour and guns etc they are 9&7,Nov 2021
618a25556fe3f9d3e4408441,UK,Tower of London,5.0,"This was a great experience from booking the tickets, paying and redeeming the tickets it was easy and hassle free, I would definitely use head out again!",Nov 2021
618a25556fe3f9d3e4408442,UK,Tower of London,5.0,"We came for the first time and it was amazing, the walkways and different rooms are steeped in so much history. The Crown Jewels were gorgeous, absolutely incredible! I completely fell in love with the ravens too. All in all fantastic day! Will definitely return!!",Nov 2021
618a25566fe3f9d3e4408443,UK,Tower of London,5.0,"We went on the free tour around the Tower which was so informative and so well told. I learnt so much, in such a fun and informative way.",Oct 2021
618a25566fe3f9d3e4408444,UK,Tower of London,5.0,Loved seeing this magnificent piece of history so beautiful to see the build of this building is magnificent for its time,Oct 2021
618a255e6fe3f9d3e4408445,UK,Tower of London,5.0,"Brilliant day out. Every member of staff was helpful friendly and obviously loved working there. The beefeaters are a wealth of information, there was so much to see, will go again",Nov 2021
618a255e6fe3f9d3e4408446,UK,Tower of London,5.0,Loads of history all in one place. Great entertainment. Not overpriced. Definitely allow 3 or 4 hours to take it all in.,Nov 2021
618a255e6fe3f9d3e4408447,UK,Tower of London,4.0,The beefeater tour with Gary was truly excellent. He managed to make everyone laugh but also teach interesting facts about this incredible place. The Crown Jewels and Tower of London building itself were the most interesting areas and unfortunately the Royal Mint building was closed for an unknown reason hence the dropping a mark.,Nov 2021
618a255e6fe3f9d3e4408448,UK,Tower of London,5.0,"This took me right back to childhood and visiting here with my dad. I would recommend getting there early if you want to see the jewels as by lunchtime the queue was massive whereas a few hours earlier we were able to walk right in.
Give yourself a few hours to visit everything as the place is seeped in history with lots to see and it would be a shame to miss anything.
Some of the places to visit involve stairs and narrow spiral staircases so this is something to bear in mind if you don't like that kind of thing but you can walk all the way around the site if you walk up the walls.
We also had lunch in one of the on site cafes and that was lovely good service and great food
Definitely one of the highlight of our trip to London.
Read more",Aug 2021
618a255e6fe3f9d3e4408449,UK,Tower of London,4.0,"Make sure you get a tour with a Beefeater they are very knowledgeable and know the history that touring the grounds on your own you would miss.
Beautiful grounds so old with the modern city in the background.
I would say 2 hours is enough time.
A cafe on site.
Visit the crown jewels.
I would recommend and return!",Nov 2021
618a255e6fe3f9d3e440844a,UK,Tower of London,5.0,"We booked online and got our dates muddled and turned up a day early it was sorted easily with no fuss.
We joined Gary for the Beefeater tour and he was fantastic, enthusiastic, knowledgeable and funny. The queues on the day were non existent and getting around every area of interest was easy and hassle free.
We saw all the main exhibits, the Crown Jewels, the White Tower, the Bloody Tower and time to get photographs with the Ravens.
Well worth the money.
Read more",Nov 2021
618a255f6fe3f9d3e440844b,UK,Tower of London,5.0,"We went on a Tuesday around 13:30, and it was so quiet! We went on the tour with our Beefeater, Clive. Clive was great, spoke clearly and loudly so all the group could hear, was full of interesting facts, and involved the crowd.
The whole experience was good fun for all ages, although I would say there are obviously a lot of stairs, so to be mindful of that.
Would definitely recommend.",Nov 2021
618a255f6fe3f9d3e440844c,UK,Tower of London,5.0,"Beefeaters very knowledgable . Cut short due to rain but plenty to see in the towers, church. Will visit again. This was our 3rd visit",Oct 2021
618a255f6fe3f9d3e440844d,UK,Tower of London,2.0,"Nearly £50 for one adult and one child. Admittedly, we went during the bank holiday, so our time was mostly spent in queues. The buildings are iconic, but once you get inside, the exhibits are of a poor quality and little effort to make history come alive. My advice would be to walk around the outside, and visit the Leeds Armouries, which is free to enter.",Oct 2021
618a255f6fe3f9d3e440844e,UK,Tower of London,5.0,We've visited the Tower of London a couple of times before and always have a great day. There is so much to see and the information is very well put together. A great day for adults and children alike,Aug 2021
