country,user_id,attraction,score,review,trip_date
Belgium,Rita,Grand Place,5.0,"You can visit the place for free. We visited this place when we went to Brussels in October 2021. We saw some people did not wear their mask but we kept wear our masks.

We can see the beautiful square buildings in this place. At night everything turned even more beautiful. They have some restaurants for people to enjoy their day. It is difficult to find place to sit. So, it is standing place.

The place is easy to reach by tourists maps. We walked from Brussels metro station to this place and took around 15 minutes.
Read more",Oct 2021
Belgium,athome,Grand Place,5.0,"It is a large square located in the center of brussels, beautiful architecture, good atmosphere and I felt completely safe",Sep 2021
Belgium,SFPrior,Grand Place,5.0,Simply beautiful and a must see both during the day and at night! Really stunning when the gold glints in the sunlight! We even had a waffle in the square.,Oct 2021
Belgium,jordi c,Grand Place,4.0,"THIS IS A LOVELY SECTION OF BRUSSELS ,the statue was not very big but has as a big story ,must see ,",Oct 2021
Belgium,OZS_ATW,Grand Place,5.0,"Grand Place is a must to visit especially when the sun sets down.
The architecture of the Grand Place is just fantastic not to speak about the other buildings in the square!
You can take amazing photos in here.",Oct 2021
Belgium,Kel M,Grand Place,5.0,We loved being one street over from this beautiful place! So many fun events and gatherings in the three days we stayed in Belgium!,Oct 2021
Belgium,Nico Bicann,Grand Place,4.0,I like the achitecture and the people of this city so much! Coming back for sure! Everyone is so friendly and helpful and in my opinion it's a good city to live.,Aug 2021
Belgium,Stuart,Grand Place,4.0,Great views all round. An absolute must if in Brussels !! Looks great at night lit up and very safe too. Recommend,Oct 2021
Belgium,Caradine,Grand Place,5.0,"I advise you to go see this place during the day and come back there in the evening because it is really 2 different atmospheres, very beautiful illuminations",Oct 2021
Belgium,Joric M,Grand Place,5.0,"We entered the square as there was a college graduation ceremony happening. You can stand and marvel for hours at the intricate facades of each building. I'd recommend grabbing a beer or two, sitting any one of the many outdoor cafe spots, and really taking the time to analyze each building. There is a horse and buggy service in the square and a central place for locals and tourists to walk through. It's stunning.",Oct 2021
Belgium,Dena D,Grand Place,5.0,"I have seen a lot of market squares in Belgium on this trip, but this is without doubt the most impressive and beautiful.. It is like being on the inside of a jewelry box.",Oct 2021
Belgium,Michael F,Grand Place,5.0,Truly a beautiful square. It is worth several visits throughout the day and night. Stop and take the time to look closely at every building!,Sep 2021
Belgium,Martin,Grand Place,4.0,We were quite unlucky as there was a big concert at the time. We were able to see the place but sadly not in its full beautifulness.,Sep 2021
Belgium,Ftg5556,Grand Place,5.0,"all the streets lead to the Grand Place and it is really practical to find your way around the city, very beautiful place with pretty monuments",Sep 2021
Belgium,Nielsen98765,Grand Place,5.0,"This is stunning square. Very beautiful Nice place to be , this is a big square on the centrum of the heart of brussels,,",Sep 2021
Belgium,Kei P,Grand Place,2.0,"My wife is in a wheelchair with limited mobility, which means she can get out and walk a few meters if she has to. She definitely had to in order to see this square. The streets leading into it had cobblestones that were so uneven I couldn't push her so she had to walk in while I pushed the chair behind her. Good luck if you can't walk at all.
Once we got in the pavement was a bit smoother so I could at least push her but every few meters we would come to a bone-jarring stop as we hit an uneven space and were stopped dead in our tracks. But we did make it around well enough to take some photos then we had to walk her out at the end.
So you may be thinking that the next best alternative would be to take some sort of mobile tour: a car, bus, whatever. Well we did that. We had an electric Rickshaw pick us up at our hotel so we could leave the wheelchair behind and he took us for a nice tour of the sites. Well, a lot of them anyway. When it came to Grand Place all vehicles are banned because of terrorism fears so we couldn't go in. So if we didn't take that wheelchair trip we would have missed it completely.
I did get a lot of nice pictures of the square, both in the morning while it was deserted and while it was lit up at night. Unfortunately I had to leave my wife back at the hotel and go by myself in order to do it.
Read more",Sep 2021
Belgium,tayef s,Grand Place,4.0,Nice big open space with loads of restaurants and shops around with amazing architecture and buildings.,Sep 2021
Belgium,Ezra Joma,Grand Place,5.0,"While walking I had discovered this large impressive square with all these moniuments, very beautiful architectures",Aug 2021
Belgium,Ccordes31,Grand Place,5.0,Simply one of the most beautiful squares we have seen in Europe!! Make sure to see it at night!! Area around the Grand Place is packed with good eating places and great pubs!,Sep 2021
Belgium,Robert9876,Grand Place,5.0,"Amazing,beautiful place, one of the best square in the world, Amazing building around,must to see,,,",Sep 2021
Belgium,Victor,Grand Place,4.0,"Cool place to visit, lots of shops and restaurants that open to late. Amazing in the day and at night. Can get quite crowded though.",Jul 2021
Belgium,Fadoua K,Grand Place,5.0,"Amazing place in the centrum of capital of Europe,grand place one the best and amazing place in the world,,worth visit,,must to see",Aug 2021
Belgium,EvaF2Eva,Grand Place,5.0,"I visited Brussels several times but never got amazed and honestly I try to avoid it on my travels to Belgium as much as possible. Yet I have to admit that their main square is outstanding, one of the most beautiful squares in the continent, if not the most beautiful at all and it is definitely a must see in Europe.
Last time I visited at the nice summer evening. The atmosphere was very relaxed and it was a pleasure to be there.",Jul 2021
Belgium,Elena Zambon,Grand Place,5.0,"Without any doubt, the best city square I have ever been in Europe. Beautiful both at day and at night",Jul 2021
Belgium,Kathy,Grand Place,5.0,You will be amazed by the beauty of these stunning historic houses. Definitely a must see place. The city hall is a work of art.,Aug 2021
Belgium,Skin-Doctor,Grand Place,5.0,"There was a jazz festival and the whole Grand Place was lite up.

Atmosphere was amazing and would go back again anytime.

Loved how it was all lite.",Aug 2021
Belgium,marie,Grand Place,5.0,"One of the best square in the world is here center of Brussels, amazing building, beautiful must to see when you are in Brussels",Jul 2021
Belgium,ziv,Grand Place,5.0,"There is not much to write about the place, because every tourist or resident or anyone who happens to be in the city will come to the Grand Place at some point. One should just look up, look around and admire the beauty of the place. Not to be missed!",Jul 2021
Belgium,Sam,Grand Place,5.0,"One of the most beautiful Place I've ever seen. I love how it feels like a very closed Place, just surrounded by beautiful architecture",Jun 2021
Belgium,Vicky Silve,Grand Place,5.0,"I visited it back in July 2014, during summer, but I would like to see it when they cover it with a big “carpet” of flowers!",Jul 2021
Belgium,Roberto C,Grand Place,5.0,"Impressive and wonderful, even better at night. One of the best squares in the world in my opinion. Having some drinks/coffee at night there is really great.",Jul 2021
Belgium,Voula I,Grand Place,5.0,"Unfortunately, the covid epoch creating difficulties in the field of art and culture but it was a beautiful and unusual experience walking alone in this huge'' lonely'' place.",Dec 2020
Belgium,Manasi S,Grand Place,4.0,"The old and new European architecture is amazing. One of the largest market square in Rurope. Worth a visit. We did the horse chariot ride for 30 mins and it covers the most of the nearby tourist places.
A day well spent.",Apr 2021
Belgium,June A,Grand Place,5.0,"I was lucky enough to have the opportunity to visit Brussels during the brief period last summer when things returned to at least some semblance of normality. I stayed just a few minutes from the Square and so walked past or through it almost every day in some capacity. It's a huge open space filled with the most glorious and majestic buildings - the best known of which are of course the famous Guild Houses. These are every bit as beautiful as they look in the pictures and house a variety of different institutions some of which are open to the public. The restaurants and bars were open for business when I visited and were doing a brisk trade with people no doubt wishing to make up for the many months of confinement. On the day I arrived in Brussels the square had a team of acrobats entertaining the crowd, which I must admit threw me a little. It was though all very organised and although crowded I felt perfectly safe as everyone was masked up and enjoying themselves. The atmosphere at night is very different - the buildings are lit up with groups of friends sitting on the cobbles in the square drinking, smoking and catching up with each other as the sun gradually does down and the light fades. The buildings look even better at this time than they do during the day and for a woman alone it is of course perfectly safe.
Read more",Jul 2020
Belgium,Sue B,Grand Place,5.0,You can't visit Brussels without visiting the Grand Place. Even though covid meant the restaurants were shut it is still spectacular to visit.,Feb 2021
Belgium,Tralalala,Grand Place,5.0,"It is the largest square of Brussels located in the centre, without wanting to spend several times during your stay, in the evening it is even more beautiful with the illuminations.",Nov 2020
Belgium,JammieMY,Grand Place,5.0,I really love the annual light/3D show on Grand Place. It really highlights the architecture of the place.,Dec 2020
Belgium,Mademoiselle Lyon,Grand Place,5.0,Very nice area to stay and linger and learn about its history. So many opportunities to taste dishes. Buy souvenirs and learn new local specialties.,Jan 2021
Belgium,Amel,Grand Place,5.0,"The Grand Place should definately be on your list of places to see. Make the wonderful historic buildings that line the square the reason to visit but it also features a large selection of bars and restaurants and the side streets full of the same plus many tacky gift shops and perhaps average chocolatiers. If you want a choice of above average chocolatiers wonder up to Le Sablon for Wittamer and the amazing Pierre Marcolini. Shopping for a gift or momento try antique and junk shops along and around the Rue Haute and Rue Blaes leading to Place Du Jue De Balle where you will find a daily Flea market.
Read more",Oct 2020
Belgium,Ankita S,Grand Place,5.0,Must visit place if you are Brussels. Loads of beer and coffee shops near by. There are other palaces just right in front of Grand place. You are going to love it if you admire architecture.,Jan 2021
Belgium,alleluia,Grand Place,5.0,"Very beautiful place lively during the day and in the evening, we liked to walk there and have lunch in the small restaurants",Oct 2020
Belgium,Places Happen,Grand Place,5.0,"If you have time for only one place in Brussels, then this is it. The streets leading to it may not look like much, but the square itself is breathtaking.",Nov 2020
Belgium,The Weak Knee Traveler,Grand Place,5.0,"This square is a UNESCO heritage site and the main square in Brussels. It is beautiful and a must visit when in Brussels, esp. during the X'mas season. There was a light show at the square in the evening and it was crowded. It was so much quieter when visited early in the morning just before sunrise. But no less beautiful.",Dec 2019
Belgium,MTVY6645,Grand Place,5.0,"very large place located in the center of Brussels, very beautiful architecture, very clean and very secure, we liked the atmosphere",Sep 2020
Belgium,the-hospitality-expertKE,Grand Place,4.0,"A Must visit when in Brussels. There's a lot to see here during the day and at night, it's even more beautiful. I was there during Christmas and the spectacle was breathtaking. There was a lot of entertainment and we enjoyed everything from food, drinks to the company of the locals and tourists alike.",Dec 2019
Belgium,Joujou6543,Grand Place,5.0,"Worth visit during the day and night, must to see, we spent an hour there taking pictures, really interesting place,awesome",Oct 2020
Belgium,manigigi,Grand Place,5.0,"each time that we visit brussels..we must to pass through and it always happy to see it ..this is fantastic place in brussels with amazing building, just a walk away from manneken pis and many pubs.",Oct 2020
Belgium,Alayou455,Grand Place,5.0,Amazing place in centrum of capital .nice place to be .beautiful building..a lot of pub and restaurants around this nice place,Sep 2020
Belgium,Vanessa P,Grand Place,5.0,FREE to visit. Instagram hot spot! At night they will light on the little lights and everything will be magical. Lots of restaurants in the area. It is a must to go in Brussels,Oct 2019
Belgium,Enzo,Grand Place,5.0,"Visiting the Grand Place throughout the year is a delight. Even more at Christmas time it is a wonderful experience.
In August when the Flower Garden is set up, it is amazing.

There are many activities throughout the year held in the Grand Place that you can never get tired of visiting this location.",Aug 2020
Belgium,Tânia Cristal,Grand Place,5.0,"Great vibes during the day and beautiful at night. Pictures don't make half of it, you have to go and get mesmerized.
Mandatory spot on Brussels!",Mar 2020
Belgium,BPMKMT,Grand Place,5.0,"This review is a year later, we visited last summer. Been lucky enough to visit a few beautiful squares in Europe in our time, The Grand Place is my favourite. The old town streets all will funnel naturally towards the middle of this beautiful square with 2 beautiful tall buildings that stand across each other. Interesting note, neither are places of worship one is a Government building. I would recommend joining a tour with one of the locals with a yellow umbrella. It is free, but do expect to tip the tour guide, it is how they make a living and it is well worth it. From there you make your way anywhere, Brussels is very walkable, I suggest a walk by the Gallery where they sell tasty chocolate. Sit and have a Belgium waffle and expresso. I would recommend Neuhaus and Mary's chocolate if you are like fine chocolate. From there make your way to the Royal Palace. You can't get lost, you can always make your way back to the square with the arches of the tall buildings visible.
Read more",Sep 2019
Belgium,JackandLaurieB,Grand Place,5.0,No question - you need to visit this awesome square. One of the prettiest in Europe. Free tours meet here. Look at the top of the buildings as numerous guilds are represented,Oct 2019
Belgium,Mathilde L,Grand Place,5.0,"Our most liked place of Brussels ! At 10pm there is some short lights show on the monuments, it’s very nice",Jul 2020
Belgium,Robertomancini453,Grand Place,5.0,Amazing this grande place on the centrum of thé heart of brussels Many pubs and restaurant around this beautiful place,Jul 2020
Belgium,Alain H,Grand Place,5.0,"Hope and pray that coved19 will end soon
And this city will smile again ,and be crowded with people as always, and see the grand place shining again",Jul 2020
Belgium,KMG,Grand Place,5.0,"This is a great place to try some good food or to just sit down, enjoy a good beer, and people watch",Jul 2020
Belgium,Sarah K,Grand Place,5.0,This is a must see while visiting Brussels! Very easy to find and many shops and restaurants are around.,Jul 2020
Belgium,BigTool,Grand Place,5.0,The architectural details on the buildings are incredible. The buildings are mostly former guild halls and the guilds each tried to outspend the next other guilds on their ornate headquarters.,Jul 2019
Belgium,wrldTraveler2012,Grand Place,5.0,A top destination in Brussels for sure. Take a seat on the ground in the middle of the square and enjoy the evening hustle and bustle of tourists and locals alike while enjoying a beer. A delightful experience and totally local.,Jun 2020
