country,user_id,attraction,score,review,trip_date
Denmark,Mikael F,Nyhavn,5.0,"Nyhavn is a port area from the 1600s. It was constructed by King Christian V from 1670 to 1675.

Now it is more an entertainment center with colorful old houses, bars, cafes, and restaurants.

The area still serves as a traditional harbor with historic wooden ships on display. Also as a hub of canal tours.

On our visit at the beginning of November, the area was filled with a Christmas Market.
Read more",Nov 2021
Denmark,Roger O,Nyhavn,4.0,"We spent time in this area in our 48 hour city visit. Luckily we had a local friend to guide us. A boat ride is a great start. See a lot of the city from water. (And mermaid!) plenty of coffee shops to try, we didn’t find a bad one. Evening restaurants probably better away from the front tourist traps. This is not a cheap destination for brits, so take care in selecting where you eat. Some very up market restaurants available if your pockets are deep enough! Shop wine is plenty full and reasonable, but massively marked up in bars. Enjoy, but watch out for fast silent bicycles at junctions and traffic lights. Enjoy.",Oct 2021
Denmark,CarloHelmond,Nyhavn,4.0,This place is full of history. Now mainly occupied with bars and restaurants. It does have a nice atmosphere. Most places provide heaters and blankets. A very nice place to spend some time and watch people. As can be expected prices are relatively high,Oct 2021
Denmark,Ashton,Nyhavn,5.0,"The harbour is just so quaint. All the colours of the buildings, the multiple boats and the pumping energy just gives Nyhavn a very cool vibe. There are plenty of restaurants and bars to choose from if you want to indulge while taking in the views, or simply walk around while you admire its beauty. Either way, you win.",Oct 2021
Denmark,Liztravelsandeats,Nyhavn,3.0,Nice to walk through and take the touristy picture with the colorful houses in the background. Restaurants all look like tourist traps.,Oct 2021
Denmark,HeleneT72,Nyhavn,4.0,"Of course, you must go to this iconic place but make sure you take the time to explore the rest of the city as much as possible. There's so much more to Copenhagen than Nyhavn!",Oct 2021
Denmark,Jo M,Nyhavn,4.0,A must see when in Copenhagen. Its as picturesque as the images you see on Instagram albeit a lot busier.,Sep 2021
Denmark,Road738666,Nyhavn,5.0,Gorgeous harbour area with plenty to see. The colourful buildings are very scenic and there’s plenty of food options nearby. A must-see if in Copenhagen,Oct 2021
Denmark,Jennifer K,Nyhavn,4.0,"This is a beautiful place along the harbour. Plenty of colourful buildings, great place for photographs.
There are plenty of places to eat with a wide range of different cuisines.",Oct 2021
Denmark,George,Nyhavn,5.0,"Beautiful spot, to walk around and grabbing a bite to eat. Very relaxed and traveled on the canal boat to explore the sights of Copenhagen",Oct 2021
Denmark,Raya R,Nyhavn,5.0,A best spot in Copenhagen. Take a seat in one of the caffe’s/restaurants. Don’t be afraid of the wind. They all give you s blanket to rap yourself in,Oct 2021
Denmark,sholmvik,Nyhavn,3.0,I did expect more from this area. The had some resturants but the menue where mor or less the same on every place. The food were also very much the same.,Oct 2021
Denmark,Bechara C,Nyhavn,5.0,"I always like this part of the city, it's quiet and popular in the same time, it's attractive, the shops, restaurants, and the small boats",Sep 2021
Denmark,Flitz8-A foodie travels,Nyhavn,4.0,"This part is beautiful, you do not have to stay for long, the buildings are colorful and beautiful but tourist part and there is alot of cafes there too",Aug 2021
Denmark,LommaTraveller,Nyhavn,4.0,A must do for every tourist in Copenhagen first time. Even though it is very touristic it is not overprized and atmospehere is still Danish hygge.,Sep 2021
Denmark,Thebates22,Nyhavn,5.0,No visit to Copenhagen is complete without a visit to the picture postcard that is Nyhavn & it’s colourful fronted building façades.,Sep 2021
Denmark,ubzurich,Nyhavn,5.0,No matter what time of the year this walk next to the water with always be magical. And you will never see it to much. Beautiful and colorful houses with amazing Danish architecture. Great local beer and food. It’s a must see how ever many times you have been there.,Sep 2021
Denmark,MariaS0raya,Nyhavn,4.0,"A visit in Copenhagen is incomplete without spending time at Nyhavn.
Lined with colourfully painted townhouses, wooden ships, modern boats, musicians and lots of bars and restaurants.... it has a cosy and relax atmosphere that Denmark embraces.

In summertime (very crowded) Nyhavn is the perfect place to end a long day, enjoy a beer, a drink at the quaydside...",Aug 2021
Denmark,AG Reyes,Nyhavn,5.0,"Absolutely beautiful harbor, especially when the sun is hitting it just right. I was expecting to be underwhelmed here but it truly is a beauty!",Sep 2021
Denmark,Ben,Nyhavn,5.0,"If you’re ever been to Copenhagen and never been here… you haven’t been to Copenhagen without being here! So simple…
Just go and you’ll know!!! 😍",Sep 2021
Denmark,marlene j,Nyhavn,4.0,"what a cosy place in copenhagen, harbor district, but in the center of copenhagen, great place for lunch",Sep 2021
Denmark,Squidhead,Nyhavn,5.0,"Lovely street just made for photographs. I knew it was a ""must see"" when visiting Copenhagen. Hard to take a bad photo here. Lots of choices for food/drink and people-watching.",Aug 2021
Denmark,Summerasalifestyle,Nyhavn,5.0,"Harbor area. Fun with views. Easy access with public transportation. I stayed in hotel here for 5 days.
Lotsa of trinket shops and touristy overpriced restaurants and cafes that have average food. But the views are quite nice.
Near to many sights. Mostly tourists here.",Aug 2021
Denmark,The5MRanch,Nyhavn,5.0,"Everyone has seen the view, but you have to see it for yourself. Great spot for lunch or an Irish Coffee after a canal cruise.",Aug 2021
Denmark,michaelwoollard56,Nyhavn,4.0,"Very good. A stunning harbour, loads of colour, many cafe / restaurants. You can walk or the hop on hop off bus drops you there plus many boat canal trips leave from there.",Aug 2021
Denmark,Chris & Katie,Nyhavn,5.0,Sit there and enjoy your life. It is an amazing spot. Drink a wine and have a lunch or dinner. Make pictures and walk around.,Aug 2021
Denmark,Romina B,Nyhavn,5.0,This is a really beautiful harbour among colorful houses and a lot of cafes and restaurants. It is pricey ofcourse. Bit worthwile to walk along. The most attractive atraction in Copenhagen.,Aug 2021
Denmark,Soo J,Nyhavn,5.0,"Must see, busy harbour place sourrounded by colourful houses with mostly seafood restaurants. Good to enjoy copenhagen atmosphere. If u don,t want to spend a lot by a beer at a kiosk nearby and join the vibrant scenery at the harbour",Aug 2021
Denmark,savu_toma,Nyhavn,5.0,"Beautiful and relaxed atmosphere, great place for a walk or to stop at a terace and enjoy a drink. Many small boats to admire.",Jun 2021
Denmark,maiaibing,Nyhavn,5.0,"Amazing ambience, colorful houses, wonderful wooden sail ships, pristine water front placement, outdoor restaurants and bars. Easy access. Every city dreams of having such a place. Can sometimes be crowed, but you can always bring your own drinks and sit along the pier (lots of Danes do just that).",Jul 2021
Denmark,Alexander,Nyhavn,5.0,"Really beautiful place with lots of restaurants. We were here during the day qnd in the evening and can recommend both. In my opinion a must see, when visiting Copenhagen!",Jun 2021
Denmark,A-,Nyhavn,4.0,It is a wonderful experience to stroll through the narrow streets next to the water and the colourful houses that pass by. It is crowded but that makes it all the more lively!!,Aug 2020
Denmark,arnogrand,Nyhavn,4.0,"It was a pleasure to stroll around Nyhavn - through the boats, the eateries and the danish flags. A beautiful place !",Jul 2021
Denmark,kumarsourabh,Nyhavn,4.0,This is one of the best place to visit during evening....the place is wonderful and you can get one of the best drinks around.,May 2021
Denmark,johanekenstierna,Nyhavn,5.0,I ❤️ Copenhagen. Nyhavn is the heart of beatiful Copenhagen. If you visit copenhagen this is a must see and must enjoy for dining. There is always many people here looking for the heart ❤️ of copenhagen to fall in love. Enjoy with a local beer 🍺,May 2021
Denmark,Masu D,Nyhavn,5.0,"A must visit when you are in Copenhagen. A sunny day, just looking at people relaxing in the sun with a cold beer.",Jun 2021
Denmark,Frank P,Nyhavn,5.0,I really enjoyed spending time in Nyhavn. It was very beautiful and filled with plenty of restaurants and ice cream shops. I would definitely recommend visiting this part of Copenhagen,Jun 2021
Denmark,Rosalyn Gutherie,Nyhavn,5.0,"This place is amazing to visit in evening. Bit crowds but still liked it.
We were staying near this area and we visited twice .
Really liked the place.",Mar 2021
Denmark,jbg74,Nyhavn,4.0,"This is a pretty busy but fun place to walk around. There are lots of nice, little cafes and restaurants here too but this is a pricy area even for Copenhagen. If it is a sunny day getting some photos here is a must. It is fun to see the wooden ships tied up to the end of the canal and do some people watching while sitting at a cafe.",Dec 2020
