country,date,cases,today_cases,cases_per_million
Austria,2021-11-21,1042571,15297,114851
Belgium,2021-11-21,1581500,21502,135640
Croatia,2021-11-21,566118,5614,139090
Czechia,2021-11-21,1980889,22945,184500
Denmark,2021-11-21,446676,3795,76742
France,2021-11-21,7395222,22678,112950
Germany,2021-11-21,5341332,48245,63470
Greece,2021-11-21,874812,5944,84503
Iceland,2021-11-21,16435,0,47733
Ireland,2021-11-21,524783,5959,104660
Italy,2021-11-21,4915981,11555,81473
Netherlands,2021-11-21,2421643,21794,140896
Norway,2021-11-21,241441,1338,44059
Poland,2021-11-21,3326505,23455,88028
Portugal,2021-11-21,1119784,2333,110264
Spain,2021-11-21,5080663,0,108608
Sweden,2021-11-21,1188735,0,116697
Switzerland,2021-11-21,941216,0,107663
Turkey,2021-11-21,8550377,23347,99893
UK,2021-11-21,9806034,40941,143405
