country,user_id,attraction,score,review,trip_date
Croatia,Louis J,Walls of Dubrovnik,4.0,"Game of thrones was the source how we found out about this fortress, and is deffinitelly a must see. Breathtaking!
Read more",Oct 2021
Croatia,Steve M,Walls of Dubrovnik,4.0,"While a tourist trap ( that's what Dubrovnik is ! ) , it's a bit of history & a nice Morning walk. Too hot from 11am to 4 pm. Great views, take a camera
Read more",Sep 2021
Croatia,Leslie T,Walls of Dubrovnik,5.0,"Wonderful experience. Be prepared for lots of steps...and if it's a hot day go early in the morning to avoid the heat. Wonderfully preserved and what views, breathtaking!
Read more",Sep 2021
Croatia,Martin K,Walls of Dubrovnik,4.0,"We were very lucky for whether during our week in October. The walls were really impressive with amazing views out to sea and over the old town. A tad expensive but certainly very impressive. Takes about an hour to get around with some stops.
Read more",Oct 2021
Croatia,AndreaPLondon,Walls of Dubrovnik,5.0,"Lots of steps, very high, it was a wonderful experience ! There are bars along the way so you can stop and rest. You can ""get off"" half way around too. Shockingly fantastic views.
Read more",Oct 2021
Croatia,LindyWestmorland,Walls of Dubrovnik,5.0,"After visiting Dubrovnik for many years and not walking the walls because of the heat and huge numbers of tourists in Summer, we went early in the morning in October. No crowds, no excessive heat, just relaxing walking and beautiful views of the Old Town, surrounding area and the sea. Awesome looking down on the roofs, alleys, and architecture. A drink stop overlooking Lokrum halfway round. Every view a photographer’s dream. It is expensive and I believe next year will be more so but as a once in a lifetime visit it is hard to beat.
Read more",Oct 2021
Croatia,Fiona H,Walls of Dubrovnik,5.0,"I loved this walk! I'm a very reluctant walker but so glad that I did this. Not as strenuous as I expected and well worth the steps at the start for the excellent views and insight into the old town.
Read more",Oct 2021
Croatia,Sera,Walls of Dubrovnik,5.0,"Absolutely stunning views from the wall, worth doing it. Make sure to pack water and wear comfy shoes, about 2km walk around the wall. There are some refreshment/cafes along the wall as well.
Read more",Oct 2021
Croatia,NataliaD D,Walls of Dubrovnik,5.0,"Croatia is a magical place. Every corner is a postcard picture. The best view of the town is of course from the city walls, so this tour should be on your list as a must. We were lucky with not many tourists, but apparently can be very busy sometimes.
Read more",Oct 2021
Croatia,Louise M,Walls of Dubrovnik,5.0,"We walked the walls of Dubrovnik on our own and it was awesome! The weather was a pleasant low seventies and it wasn't too crowded--mid October was perfect. We took around two hours to walk the perimeter and visit some museums that were included on our Dubrovnik card. The views of the Adriatic were glorious and the peek into the backyards with the laundry hanging on the line enhanced the experience. Most of the homes within the walls have been converted to vacation rentals, but it was clear that some are still residential. The uneven stone walkways will give your ankles a workout!
Read more",Oct 2021
Croatia,SROVirginia,Walls of Dubrovnik,2.0,"The views can be pretty, but the walls are reminiscent of a Disney creation, as is most of Dubrovnik. After spending a week there, I felt that the entire city could be skipped. It's a tourist-trap on a major scale, with egregiously inflated prices -- especially for food and drinks. The walls apparently survived the 1667 earthquake (which destroyed nearly every building inside the walls) and numerous military attacks, and are an impressive 6 meters thick in some places, but they have been restored to an extent that makes them look new (nicely squared stones), hence artificial. There are walls (and castles) in other countries that have been standing since the 13th century, with less restoration, so more historical appeal. If you do walk the walls, go early, before you find yourself in an ant-like line of tourists -- and take water with you.
Read more",Oct 2021
Croatia,Russ Lacuata,Walls of Dubrovnik,5.0,"Do not Miss the monumental walls that encircle Dubrovnik. Undoubtedly the city's most unique and famous feature. There's no place like it on earth. Towers overlooking the sea, glittering Adriatic Sea on one side and red clay roofs of the Old Town on the other. You can easily explore the walls on your own. I recommend first thing in the morning or late afternoon.

Pro Tip:

Buy Dubrovnik Card and will save you money.

Bring water , wear comfortable shoes, a hat and a sunscreen.
Read more",Oct 2021
Croatia,Mzungu Mbweha,Walls of Dubrovnik,5.0,"Increasingly expensive but nevertheless the most iconic thing to do in Dubrovnik. Go during sunset and enjoy.
Read more",Oct 2021
Croatia,88UK,Walls of Dubrovnik,5.0,"This was our first visit to Dubrovnik so of course the walls were top of our list. I felt tickets were a little expensive but I imagine the upkeep is tremendous and it has to be funded somehow. The experience was worth it, some fantastic views and if you are a GoT fan like us then it’s a must.

Although there are quite a lot of steps, I think people of most abilities would be able to manage it if they took their time. If you are scared of heights or less able then it would be a good idea to avoid busy periods as some sections are a bit narrow and the sides seem quite low so could be scary navigating if there were a lot of people around.

There are several refreshment points where you can get a coffee, juice, beer, ice cream etc and they have toilets. It looked like there was a toilet for anyone to use at the bar on the sea section of the wall.

An absolute must do, we were lucky that it was quiet in October so we were able to take it all in and get a load of pictures without having to wait for others to get their shots first!
Read more",Oct 2021
Croatia,Bill W,Walls of Dubrovnik,5.0,"£20 to walk the wall and enter the St Lawrence fort (the red keep) is great value. Amazing views of the city and the coast especially for Game of Thrones fans. You need to have your wits about you as there are a lot of uneven steps and slopes with shiny paving that is slippery after rain.
Read more",Oct 2021
Croatia,Deirdre Tampa,Walls of Dubrovnik,5.0,"Although to get up to the wall was a few steps, once you are up there not difficult at all. Several places to stop for refreshments if needed and a WC. we went up an hour before they closed and easily made it around in a hour. It was a little windy and not crowded at all. Worth it!
Read more",Oct 2021
Croatia,drlegend,Walls of Dubrovnik,5.0,"Takes about an hour to work the walls. Tickets to the left just after entering Pile gate. Toilets available and small refreshments
bars on the wall. Fabulous views.
Read more",Oct 2021
Croatia,tdashepherd,Walls of Dubrovnik,5.0,"Although the walls could be a stressful climb, it was well worth it for the views of the old city as well as the sea.
Read more",Sep 2021
Croatia,goodgame123,Walls of Dubrovnik,5.0,"Go early or late as mid-day was very hot but lovely views from everywhere. Takes about an hour or so and very glad I did it. There is a bar about 1/3 of the way around to get a beverage with lovely views if you get thirsty. Or bring a water bottle!
Read more",Sep 2021
