country,user_id,attraction,score,review,trip_date
Czech,Liv,Prague Zoo,5.0,"Amazing zoo, even though it’s winter there was a lot to see. We arrived at 11am but the zoo closed at 4pm which was a shame because there was still so much left to see!
Very accessible by bus. We had a great day and for the little money you pay it’s an amazing experience. A must see if you have a day to spare in Prague.",Nov 2021
Czech,"""Peter Drake"" teacher (Hexham)",Prague Zoo,5.0,"The Indonesian rainforest section was something else. This was the highpoint of our visit.

Everything else almost as good.

We were really very impressed.

Peter Drake
chemistry teacher (retired)
Hexham
Northumberland
UK
Read more",Sep 2021
Czech,GMG,Prague Zoo,5.0,"Great zoo, probably one of the best and biggest in Europe.
It has a wide variety of species from the smallest to the biggest ( jiraffe, hipo, elephants... and even polar bears!)

It is a perfect place to spend the full day, as it takes around 4 hours non-stop to visit all the installations. It also have restaurants, kiosks, machines, etc. and everything at a very affordable prices. They also have activities, shows and exhibitions for both adults and children.

It´s very recommended to get a map at the entrance of the zoo as well as the schedule of the activities and show, to make sure you don´t miss the important ones.

Conections to Prague City Centre are very diverse and very easy to get to the Park, using tramp/bus takes you directly to the main entrance.
Read more",Oct 2021
Czech,Gavin J,Prague Zoo,4.0,"Very well kept, clean and well signposted. Some very nice enclosures and some interesting animals to look at. We easily spent 3+ hours just wandering about. The only negative point is that as far as we could see all, bar one, of the cafe areas only had outside seating. It was cold and very windy when we went and not very pleasant to sit down and have a coffee. Our top tip: take a taxi there, it was about £16 there and back.",Oct 2021
Czech,Snory L,Prague Zoo,4.0,"It was very good for a zoo, and offered a wide variety of species. I would have to complain about the amount of climbing done to see the elephants and so on. The cable car was very fun.",Sep 2021
Czech,zuv,Prague Zoo,4.0,"One of the most beautiful zoos I visited in Europe. Very large, to see it at your own pace, you need at least half a day. The natural setting of the area is very well used to create areas as close as possible to the natural environment of most animals. Easy to reach by public transport.
In many places there are kiosks where you can have a snack or a beer or a soft drink. Avoid going on weekends, it is extremely crowded.
I did not like that the map of the zoo is not included in the ticket price, as at other zoos I visited.",Aug 2021
Czech,Lotta S,Prague Zoo,5.0,"Lovely Place! I love Animals, and I havent visited much in zoos, because I think small places are harming Animals. But Prague Zoo was something different ♥️ Big places for Animals, and lovely lasdscapes.",Sep 2021
Czech,Simon A,Prague Zoo,4.0,"Beautiful and spacious zoo.
Easily accessible through metro and bus from Prague center. The zoo is VERY big so be prepared for a lot of walking (and climbing the hills). There is a chairlift but unfortunately, it is not included in the admission price - which is a pity.
There are many rare and lesser known animals here, so be prepared to discover some new species! Many different food options, just don't expect haute cuisine.",Sep 2021
Czech,PnazH77,Prague Zoo,4.0,"Its almost 15 min by Uber from center of Prague.
Not far ,easy access,should buy ticket on entrance and the price is about 10 euro which is very reasonable.
Has many kinds of animal which i never saw,and each of them are divided by continent or climate,im sorry for some wild ones like tiger ,panter or fishing cat which are in very small area,but needs exactly one day from morning,unfortunately we went on sunday and zoo was full of people,sounds ,and children and i guess most animal were afraid ,so we couldn’t see many kinds of them specially wild ones.
The zoo had some signs to show where you have to go but in some parts also were not any signs and make you confuse!
Read more",Sep 2021
Czech,Char80,Prague Zoo,5.0,My favorite zoo in Central Europe. Only downfall is that food is rather bad. Just take some snack with you and you got it covered,Aug 2021
Czech,Arsila,Prague Zoo,5.0,"This zoo is spectacular in the way it is set up. Very large, lot of rooms for animals and lot of elevation and height difference. The downside being that it's quite a walk through the park, so take your time.",Sep 2020
Czech,Andrea,Prague Zoo,5.0,A great zoo with different activities for kids. Great variety of animals and very nice territory. Our kids were very happy and always ask to visit Prague zoo again.,Jul 2020
Czech,luke,Prague Zoo,5.0,"Reasonably priced with a good selection of animals to see, including lions, tigers, giraffes and gorillas, the animals did seem to be well looked after with room to roam. This zoo is also situated high up on a hill so it gave us good photo opportunities!. Would recommend if you have time.",Nov 2020
Czech,Clivelillie,Prague Zoo,5.0,"Really impressive zoo. Huge variety of animals, nice and close to see. Bit of a kids play area including water in the middle as well as a chair lift, to over see the place, and in hindsight useful to do before getting your barings. We were there into the evening. Great day.",Aug 2020
Czech,ryanmcintyre265,Prague Zoo,5.0,"We went on a whim, as visiting a zoo isn’t something we generally do on a city break, however I was pleasantly surprised.
The zoo covers a huge area, and has some fun activities to get involved in while you’re there.

If you’re heading from the city, and aren’t getting a taxi. You can get the 17 or 93 tram to Nadrazi Holesovice where you can change to the 112 bus which takes you right to the zoo.",Dec 2019
Czech,Iliyana L,Prague Zoo,5.0,Everything was great! The staff were very friendly and helpful! Had a great time and would definitely visit again! Be sure to get a map at the entrance and to go there before 12pm if you want to see the whole place.,Oct 2020
Czech,Lets cruise,Prague Zoo,5.0,The Prague zoo is on of my favorites places in Prague. Since the 2002 flood the Zoo came a long way. They keep improving the habitats and overall experience not only for the guests but for the animals as well. Reasonable price for entrance (250CZK is about 12$) which is much less then other zoos I’ve been to.,Apr 2019
Czech,Sara S,Prague Zoo,5.0,"Thos is a beautifully located zoo with perfect enclosures for the animals. Mouintain walls for the mountain goats, sand and lakes for the elephants and forests for wolves and vultures. A bit pricey to enter but well worth it. The animals are happy and active.",Sep 2020
Czech,SLR,Prague Zoo,5.0,"Prague zoo has to be one of my top three zoos to visit. A good collection of animals, well cared for and no signs of poor maintenance or unhappy creatures. Once inside prices for refreshments and gifts are fair, not cheap but fair.
The chair lift to the top of the cliff is a must do, only if you have a head for heights.",Sep 2020
Czech,Vasilisa,Prague Zoo,5.0,"Unexpected: the zoo is too big. We thought to walk around like 2h but after stay there like a half day.
Huge territory. Nice collection.",Sep 2020
